Year,Candidate Name,District/State,Vote Total
2016,R Winner B. Byrne (i),1 alabama,NA
2016,R Winner M. Roby (i),2 alabama,"134,450"
2016,D N. Mathis,2 alabama,"111,640"
2016,R Winner M. Rogers (i),3 alabama,"190,724"
2016,D J. Smith,3 alabama,"93,567"
2016,R Winner R. Aderholt (i),4 alabama,NA
2016,R Winner M. Brooks (i),5 alabama,"204,791"
2016,D W. Boyd,5 alabama,"101,577"
2016,R Winner G. Palmer (i),6 alabama,"240,897"
2016,D D. Putman,6 alabama,"81,296"
2016,D Winner T. Sewell (i),7 alabama,NA
2016,R Winner D. Young (i),1 alaska,"125,729"
2016,D S. Lindbeck,1 alaska,"90,784"
2016,L J. McDermott,1 alaska,"25,104"
2016,N B. Souphanavong,1 alaska,"7,158"
2016,D Winner T. O'Halleran,1 arizona,"117,048"
2016,R P. Babeu,1 arizona,"100,236"
2016,G R. Parrish,1 arizona,"13,122"
2016,R Winner M. McSally (i),2 arizona,"157,677"
2016,D M. Heinz,2 arizona,"120,572"
2016,D Winner R. Grijalva (i),3 arizona,NA
2016,R Winner P. Gosar (i),4 arizona,"171,901"
2016,D M. Weisser,4 arizona,"68,460"
2016,R Winner A. Biggs,5 arizona,"157,980"
2016,D T. Fuentes,5 arizona,"92,225"
2016,R Winner D. Schweikert (i),6 arizona,"158,978"
2016,D J. Williamson,6 arizona,"99,008"
2016,D Winner R. Gallego (i),7 arizona,"88,219"
2016,R E. Nunez,7 arizona,"30,040"
2016,R Winner T. Franks (i),8 arizona,"165,593"
2016,G M. Salazar,8 arizona,"75,963"
2016,D Winner K. Sinema (i),9 arizona,"132,281"
2016,R D. Giles,9 arizona,"84,137"
2016,R Winner R. Crawford (i),1 arkansas,"183,068"
2016,L M. West,1 arkansas,"56,200"
2016,R Winner F. Hill (i),2 arkansas,"176,100"
2016,D D. Curry,2 arkansas,"111,049"
2016,L C. Hayes,2 arkansas,"14,287"
