Candidate#State#District#Party#Year#Vote Total###Vote Share
R Winner B. Byrne (i)#alabama#1#Party#2016#NA###Uncontested
R Winner M. Roby (i)#alabama#2#Party#2016#134,450###54.60%
D N. Mathis#alabama#2#Party#2016#111,640###45.40%
R Winner M. Rogers (i)#alabama#3#Party#2016#190,724###67.10%
D J. Smith#alabama#3#Party#2016#93,567###32.90%
R Winner R. Aderholt (i)#alabama#4#Party#2016#NA###Uncontested
R Winner M. Brooks (i)#alabama#5#Party#2016#204,791###66.80%
D W. Boyd#alabama#5#Party#2016#101,577###33.20%
R Winner G. Palmer (i)#alabama#6#Party#2016#240,897###74.80%
D D. Putman#alabama#6#Party#2016#81,296###25.20%
D Winner T. Sewell (i)#alabama#7#Party#2016#NA###Uncontested
R Winner D. Young (i)#alaska#1#Party#2016#125,729###50.50%
D S. Lindbeck#alaska#1#Party#2016#90,784###36.50%
L J. McDermott#alaska#1#Party#2016#25,104###10.10%
N B. Souphanavong#alaska#1#Party#2016#7,158###2.90%
D Winner T. O'Halleran#arizona#1#Party#2016#117,048###50.80%
R P. Babeu#arizona#1#Party#2016#100,236###43.50%
G R. Parrish#arizona#1#Party#2016#13,122###5.70%
R Winner M. McSally (i)#arizona#2#Party#2016#157,677###56.70%
D M. Heinz#arizona#2#Party#2016#120,572###43.30%
D Winner R. Grijalva (i)#arizona#3#Party#2016#NA###Uncontested
R Winner P. Gosar (i)#arizona#4#Party#2016#171,901###71.50%
D M. Weisser#arizona#4#Party#2016#68,460###28.50%
R Winner A. Biggs#arizona#5#Party#2016#157,980###63.10%
D T. Fuentes#arizona#5#Party#2016#92,225###36.90%
R Winner D. Schweikert (i)#arizona#6#Party#2016#158,978###61.60%
D J. Williamson#arizona#6#Party#2016#99,008###38.40%
D Winner R. Gallego (i)#arizona#7#Party#2016#88,219###74.60%
R E. Nunez#arizona#7#Party#2016#30,040###25.40%
R Winner T. Franks (i)#arizona#8#Party#2016#165,593###68.60%
G M. Salazar#arizona#8#Party#2016#75,963###31.40%
D Winner K. Sinema (i)#arizona#9#Party#2016#132,281###61.10%
R D. Giles#arizona#9#Party#2016#84,137###38.90%
R Winner R. Crawford (i)#arkansas#1#Party#2016#183,068###76.50%
L M. West#arkansas#1#Party#2016#56,200###23.50%
R Winner F. Hill (i)#arkansas#2#Party#2016#176,100###58.40%
D D. Curry#arkansas#2#Party#2016#111,049###36.80%
L C. Hayes#arkansas#2#Party#2016#14,287###4.70%
R Winner S. Womack (i)#arkansas#3#Party#2016#214,268###77.30%
L S. Isaacson#arkansas#3#Party#2016#62,793###22.70%
R Winner B. Westerman (i)#arkansas#4#Party#2016#181,921###74.90%
L K. Hicks#arkansas#4#Party#2016#60,969###25.10%
R Winner D. La Malfa (i)#california#1#Party#2016#164,907###59.50%
D J. Reed#california#1#Party#2016#112,183###40.50%
D Winner J. Huffman (i)#california#2#Party#2016#177,724###77.10%
R D. Mensing#california#2#Party#2016#52,818###22.90%
