Bonner, Jo#AL#1#REP#2006#112944#
Beckerle, Vivian Sheffield#AL#1#DEM#2006#52770#[0.6815597957927514, 0.3184402042072486]
Everett, Terry#AL#2#REP#2006#124302#
James, Charles (Chuck) Dean#AL#2#DEM#2006#54450#[0.6953880236305048, 0.30461197636949516]
Rogers, Mike#AL#3#REP#2006#98257#
Pierce, Greg A.#AL#3#DEM#2006#63559#
Layfield, Mark Edwin#AL#3#IND#2006#3414#[0.5946680384917993, 0.38466985414271015, 0.02066210736549053]
Aderholt, Robert B.#AL#4#REP#2006#128484#
Bobo, Barbara#AL#4#DEM#2006#54382#[0.7026128421904564, 0.2973871578095436]
Cramer, Bud#AL#5#DEM#2006#143015#[1.0]
Bachus, Spencer#AL#6#REP#2006#163514#[1.0]
Davis, Artur#AL#7#DEM#2006#133870#[1.0]
Young, Don E.#AK#0#REP#2006#132743#
Benson, Diane E.#AK#0#DEM#2006#93879#
Crawford, Alexander#AK#0#LIB#2006#4029#
Ince, Eva L.#AK#0#GRE#2006#1819#
"""""""""""""""Ratigan, William W. """"""""""""""""Bill"""""""""""""""""""""""""""""""#AK#0#OTHER#2006#1615#[0.5670717901616934, 0.40104662836149263, 0.017211696605933743, 0.007770681590020719, 0.006899203280859517]
Renzi, Rick#AZ#1#REP#2006#105646#
Simon, Ellen#AZ#1#DEM#2006#88691#
Schlosser, David#AZ#1#LIB#2006#9802#[0.5175199251490405, 0.43446377223362515, 0.04801630261733427]
Franks, Trent#AZ#2#REP#2006#135150#
Thrasher, John#AZ#2#DEM#2006#89671#
Gammill, Powell#AZ#2#LIB#2006#5734#
Crum, William#AZ#2#WRI#2006#5#[0.5861814712005552, 0.388926960444136, 0.024869882026370575, 2.1686328938237334e-05]
Shadegg, John#AZ#3#REP#2006#112519#
Paine, Herb#AZ#3#DEM#2006#72586#
Yannone, Mark#AZ#3#LIB#2006#4744#[0.5926762848368967, 0.3823354350036081, 0.02498828015949518]
Pastor, Ed#AZ#4#DEM#2006#56464#
Karg, Don#AZ#4#REP#2006#18627#
Harders, Ronald#AZ#4#OTHER#2006#2770#[0.7251897612411862, 0.23923401959902904, 0.03557621915978475]
Mitchell, Harry#AZ#5#DEM#2006#101838#
Hayworth, J.D.#AZ#5#REP#2006#93815#
Severin, Warren#AZ#5#LIB#2006#6357#[0.5041235582396911, 0.46440770258898073, 0.03146873917132815]
Flake, Jeff#AZ#6#REP#2006#152201#
Blair, Jason M.#AZ#6#OTHER#2006#51285#[0.7479679191688863, 0.25203208083111367]
Grijalva, Raul#AZ#7#DEM#2006#80354#
Drake, Ron#AZ#7#REP#2006#46498#
Cobb, Joe#AZ#7#OTHER#2006#4673#[0.6109408857631629, 0.3535297471963505, 0.0355293670404866]
Giffords, Gabrielle#AZ#8#DEM#2006#137655#
Graf, Randy#AZ#8#REP#2006#106790#
Nolan, David F.#AZ#8#LIB#2006#4849#
Quick, Jay#AZ#8#IND#2006#4408#
Dove, Russ#AZ#8#WRI#2006#7#
Price, Paul#AZ#8#WRI#2006#7#
Kimminau, Leo F., Sr.#AZ#8#WRI#2006#4#[0.5425469020967997, 0.42089705186820114, 0.019111619107677755, 0.017373482579221187, 2.7589468705659784e-05, 2.7589468705659784e-05, 1.5765410688948448e-05]
Berry, Marion#AR#1#DEM#2006#127577#
"""""""""""""""Stumbaugh, Mickey """"""""""""""""Stubby"""""""""""""""""""""""""""""""#AR#1#REP#2006#56611#[0.6926455577996395, 0.3073544422003605]
Snyder, Vic#AR#2#DEM#2006#124871#
Mayberry, Andy#AR#2#REP#2006#81432#[0.6052796129964179, 0.3947203870035821]
Boozman, John#AR#3#REP#2006#125039#
Anderson, Woodrow#AR#3#DEM#2006#75885#[0.6223198821444924, 0.37768011785550754]
Ross, Mike#AR#4#DEM#2006#128236#
Ross, Joe#AR#4#REP#2006#43360#[0.7473134571901443, 0.2526865428098557]
Thompson, Mike#CA#1#DEM#2006#144409#
Jones, John W.#CA#1#REP#2006#63194#
Elizondo, Pamela#CA#1#GRE#2006#6899#
Stock, Timothy J.#CA#1#OTHER#2006#3503#
Wolman, Carol#CA#1#WRI#2006#39#[0.6622929317018583, 0.28982223771348903, 0.03164040285446974, 0.016065564748399406, 0.00017886298178349324]
Herger, Wally#CA#2#REP#2006#134911#
Sekhon, A. J.#CA#2#DEM#2006#68234#
Hinesley, E. Kent#CA#2#LIB#2006#7057#[0.6418159674979306, 0.3246115641145184, 0.03357246838755102]
Lungren, Dan#CA#3#REP#2006#135709#
Durston, Bill#CA#3#DEM#2006#86318#
Tuma, Douglas Arthur#CA#3#LIB#2006#3772#
Roskey, Michael#CA#3#OTHER#2006#2370#[0.5947740490601264, 0.3783073073029202, 0.01653160595874111, 0.010387037678212202]
Doolittle, John T.#CA#4#REP#2006#135818#
Brown, Charlie#CA#4#DEM#2006#126999#
Warren, Dan#CA#4#LIB#2006#14076#[0.4905071634169156, 0.45865731528063186, 0.05083552130245257]
Matsui, Doris O.#CA#5#DEM#2006#105676#
Yan, Claire#CA#5#REP#2006#35106#
Kravitz, Jeff#CA#5#GRE#2006#6466#
Reiger, John C.#CA#5#OTHER#2006#2018#[0.7079710047834068, 0.23519086731070707, 0.04331863920785711, 0.013519488698029021]
Woolsey, Lynn#CA#6#DEM#2006#173190#
Hooper, Todd#CA#6#REP#2006#64405#
Halliwell, Mike#CA#6#OTHER#2006#5#
Friesen, Richard W.#CA#6#LIB#2006#9028#[0.7022317011855913, 0.26114228716934007, 2.0273448270269395e-05, 0.03660573819679842]
Miller, George#CA#7#DEM#2006#118000#
McConnell, Camden#CA#7#LIB#2006#22486#[0.8399413464686872, 0.16005865353131274]
Pelosi, Nancy#CA#8#DEM#2006#148435#
DeNunzio, Mike#CA#8#REP#2006#19800#
Keefer, Krissy#CA#8#GRE#2006#13653#
Berg, Philip Zimt#CA#8#LIB#2006#2751#[0.803920081889525, 0.1072362826921723, 0.0739442912927388, 0.014899344125563938]
Lee, Barbara#CA#9#DEM#2006#167245#
"""""""""""""""den Dulk, John """"""""""""""""J.D."""""""""""""""""""""""""""""""#CA#9#REP#2006#20786#
Eyer, James#CA#9#LIB#2006#5655#[0.863485228669083, 0.10731803021385128, 0.029196741117065765]
Tauscher, Ellen O.#CA#10#DEM#2006#130859#
Linn, Darcy#CA#10#REP#2006#66069#
Ketelson, Jeff#CA#10#WRI#2006#50#[0.6643330727289342, 0.3354130918173603, 0.00025383545370548995]
McNerney, Jerry#CA#11#DEM#2006#109868#
Pombo, Richard W.#CA#11#REP#2006#96396#[0.5326571772097894, 0.4673428227902106]
Lantos, Tom#CA#12#DEM#2006#138650#
Moloney, Mike#CA#12#REP#2006#43674#[0.7604594019437924, 0.23954059805620764]
Stark, Fortney Pete#CA#13#DEM#2006#110756#
Bruno, George I.#CA#13#REP#2006#37141#[0.7488725261499557, 0.2511274738500443]
Eshoo, Anna G.#CA#14#DEM#2006#141153#
Smith, Rob#CA#14#REP#2006#48097#
Holtz, Brian#CA#14#LIB#2006#4692#
Brouillet, Carol#CA#14#GRE#2006#4633#[0.7108296613370263, 0.24221075160518696, 0.02362835200805741, 0.02333123504972932]
Honda, Mike#CA#15#DEM#2006#115532#
Chukwu, Raymond L.#CA#15#REP#2006#44186#[0.7233499042061634, 0.27665009579383665]
Lofgren, Zoe#CA#16#DEM#2006#98929#
Winston, Charel#CA#16#REP#2006#37130#[0.7271036829610683, 0.27289631703893164]
Farr, Sam#CA#17#DEM#2006#120750#
De Maio, Anthony R.#CA#17#REP#2006#35932#
Taylor, Jeff Edward#CA#17#WRI#2006#2611#[0.7580370763310378, 0.2255717451488766, 0.016391178520085627]
Cardoza, Dennis A.#CA#18#DEM#2006#71182#
Kanno, John A.#CA#18#REP#2006#37531#[0.6547698987241636, 0.34523010127583637]
Radanovich, George P.#CA#19#REP#2006#110246#
Cox, T. J.#CA#19#DEM#2006#71748#[0.6057672230952669, 0.39423277690473313]
Costa, Jim#CA#20#DEM#2006#61120#[1.0]
Nunes, Devin G.#CA#21#REP#2006#95214#
Haze, Steven#CA#21#DEM#2006#42718#
Miller, John Roger#CA#21#GRE#2006#4729#[0.6674143599161649, 0.2994371271756121, 0.03314851290822299]
McCarthy, Kevin#CA#22#REP#2006#133278#
Beery, Sharon#CA#22#DEM#2006#55226#[0.7070300895471714, 0.2929699104528286]
Capps, Lois#CA#23#DEM#2006#114661#
Tognazzini, Victor D.#CA#23#REP#2006#61272#
Gardner, H. A., Jr.#CA#23#WRI#2006#18#[0.6516643838341356, 0.3482333149570051, 0.0001023012088592847]
Gallegy, Elton#CA#24#REP#2006#129812#
Martinez, Jill M.#CA#24#DEM#2006#79461#
Stettler, Michael Kurt#CA#24#WRI#2006#16#
Nicolle, Henry#CA#24#WRI#2006#3#[0.6202434875676089, 0.379665730176022, 7.644821588976167e-05, 1.4334040479330314e-05]
"""""""""""""""McKeon, Howard P. """"""""""""""""Buck"""""""""""""""""""""""""""""""#CA#25#REP#2006#93987#
Rodriguez, Robert#CA#25#DEM#2006#55913#
Erickson, David W.#CA#25#LIB#2006#6873#[0.599510119727249, 0.35664942305116315, 0.0438404572215879]
Dreier, David#CA#26#REP#2006#102028#
Matthews, Cynthia Rodriguez#CA#26#DEM#2006#67878#
Brown, Ted#CA#26#LIB#2006#5887#
Graham, Elliot#CA#26#OTHER#2006#3351#[0.5695306569017103, 0.3789018889831644, 0.032861831822444516, 0.01870562229268075]
Sherman, Brad#CA#27#DEM#2006#92650#
Hankwitz, Peter#CA#27#REP#2006#42074#[0.6877022653721683, 0.3122977346278317]
Berman, Howard L.#CA#28#DEM#2006#79866#
Kesselman, Stanley Kimmel#CA#28#REP#2006#20629#
De Lear, Byron#CA#28#GRE#2006#3868#
Ross, Kelley L.#CA#28#LIB#2006#3679#[0.739212528461154, 0.1909350067566317, 0.03580089224560819, 0.03405157253660614]
Schiff, Adam#CA#29#DEM#2006#91014#
Bodell, William J.#CA#29#REP#2006#39321#
Paparian, William M.#CA#29#GRE#2006#8197#
Llamas, Lynda L.#CA#29#OTHER#2006#2599#
Keller, Jim#CA#29#LIB#2006#2258#
Burton, John#CA#29#WRI#2006#15#[0.6346684890240161, 0.2741973724582299, 0.05716019078965719, 0.018123622772028673, 0.015745725363309253, 0.00010459959275891886]
Waxman, Henry A.#CA#30#DEM#2006#151284#
Jones, David Nelson#CA#30#REP#2006#55904#
Cannon, Adele M.#CA#30#OTHER#2006#4546#[0.7145002692057015, 0.2640293953734403, 0.021470335420858248]
Becerra, Xavier#CA#31#DEM#2006#64952#[1.0]
Solis, Hilda L.#CA#32#DEM#2006#76059#
Faegre, Leland#CA#32#LIB#2006#15627#[0.8295595837968719, 0.17044041620312808]
Watson, Diane E.#CA#33#DEM#2006#113715#[1.0]
Roybal-Allard, Lucille#CA#34#DEM#2006#57459#
Miller, Wayne#CA#34#REP#2006#17359#
Crane, Naomi#CA#34#WRI#2006#1#[0.7679733757468022, 0.23201325866424305, 1.3365588954677287e-05]
Waters, Maxine#CA#35#DEM#2006#82498#
Mego, Gordon Michael#CA#35#OTHER#2006#8343#
Ireland, Paul T.#CA#35#LIB#2006#7665#[0.8374921324589365, 0.08469534850668994, 0.07781251903437354]
Harman, Jane#CA#36#DEM#2006#105323#
Gibson, Brian#CA#36#REP#2006#53068#
