Cand_Name,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Year
COX, JOHN R.,AK,0,REP,2010
CRAWFORD, HARRY T JR,AK,0,DEM,2010
FISHER, SHELDON ALLRED,AK,0,REP,2010
YOUNG, DONALD E,AK,0,REP,2010
BONNER, JO,AL,1,REP,2010
GOUNARES, PETER HUNTER,AL,1,REP,2010
WALTER, DAVID MARSH,AL,1,CON,2010
BRIGHT SR, BOBBY NEAL,AL,2,DEM,2010
BARBER, RICK JOE,AL,2,REP,2010
JOHN, ROBERT E JR,AL,2,IND,2010
MCKINNEY, JOHN,AL,2,REP,2010
ROBY, MARTHA,AL,2,REP,2010
BELL, STEPHANIE WOLFE,AL,2,REP,2010
SEGREST, STEPHEN GRAHAM,AL,3,DEM,2010
LAYFIELD, MARK,AL,3,IND,2010
SEGALL, JOSHUA STEVEN,AL,3,DEM,2010
ROGERS, MICHAEL,AL,3,REP,2010
ADERHOLT, ROBERT BROWN,AL,4,REP,2010
SHEPARD, TAZEWELL,AL,5,DEM,2010
RABY, STEPHEN WALKER,AL,5,DEM,2010
MAKER, DAVID JOEL,AL,5,DEM,2010
PHILLIP, LESTER S,AL,5,REP,2010
HOWIE, MITCHELL JOHN,AL,5,DEM,2010
BROOKS, MO,AL,5,REP,2010
GRIFFITH, PARKER REP.,AL,5,REP,2010
LAMBERT, PAUL ANTHONY,AL,6,REP,2010
BACHUS, SPENCER T.,AL,6,REP,2010
COOKE, STANLEY KYLE,AL,6,REP,2010
MOKOLO, PATRICIA EVANS,AL,7,DEM,2010
CHAMBERLAIN, DONALD NORWOOD,AL,7,REP,2010
BOZEMAN, MARTHA RENEE,AL,7,UNK,2010
WALLER, MICHELE,AL,7,REP,2010
SEWELL, TERRI A.,AL,7,DEM,2010
WALTERS, EDDISON T,AL,7,DEM,2010
PERKINS, JAMES JR,AL,7,DEM,2010
SMOOT, SHEILA,AL,7,DEM,2010
SALTER, CHRIS,AL,7,REP,2010
LANKSTER, FRANK,AL,7,DEM,2010
HILLIARD, EARL FREDERICK JR,AL,7,DEM,2010
HENDRICKSON, CAROL FLORRIE,AL,7,REP,2010
ADLER, KEN,AR,1,GRE,2010
GREGORY, JAMES CHRISTOPHER,AR,1,DEM,2010
SMITH, PRINCELLA D,AR,1,REP,2010
GREEN, TERRY GLENN,AR,1,DEM,2010
