Year#District/State#Candidate Name#Vote Total#
2006#1 AL#Bonner, Jo Republican#112944#
2006#1 AL#Beckerle, Vivian Sheffield Democratic#52770#
2006#2 AL#Everett, Terry Republican#124302#
2006#2 AL#James, Charles (Chuck) Dean Democratic#54450#
2006#3 AL#Rogers, Mike Republican#98257#
2006#3 AL#Pierce, Greg A. Democratic#63559#
2006#3 AL#Layfield, Mark Edwin Independent#3414#
2006#4 AL#Aderholt, Robert B. Republican#128484#
2006#4 AL#Bobo, Barbara Democratic#54382#
2006#5 AL#Cramer, Bud Democratic#143015#
2006#6 AL#Bachus, Spencer Republican#163514#
2006#7 AL#Davis, Artur Democratic#133870#
2006#0 AK#Young, Don E. Republican#132743#
2006#0 AK#Benson, Diane E. Democratic#93879#
2006#0 AK#Crawford, Alexander Libertarian#4029#
2006#0 AK#Ince, Eva L. Green#1819#
2006#0 AK#"Ratigan, William W. ""Bill"" Impeach Now"#1615#
2006#1 AZ#Renzi, Rick Republican#105646#
2006#1 AZ#Simon, Ellen Democratic#88691#
2006#1 AZ#Schlosser, David Libertarian#9802#
2006#2 AZ#Franks, Trent Republican#135150#
2006#2 AZ#Thrasher, John Democratic#89671#
2006#2 AZ#Gammill, Powell Libertarian#5734#
2006#2 AZ#Crum, William Write-In#5#
2006#3 AZ#Shadegg, John Republican#112519#
2006#3 AZ#Paine, Herb Democratic#72586#
2006#3 AZ#Yannone, Mark Libertarian#4744#
2006#4 AZ#Pastor, Ed Democratic#56464#
2006#4 AZ#Karg, Don Republican#18627#
2006#4 AZ#Harders, Ronald Write-In,Libertarian,Libertarian#2770#
2006#5 AZ#Mitchell, Harry Democratic#101838#
2006#5 AZ#Hayworth, J.D. Republican#93815#
2006#5 AZ#Severin, Warren Libertarian#6357#
2006#6 AZ#Flake, Jeff Republican#152201#
2006#6 AZ#Blair, Jason M. Write-In,Libertarian,Libertarian#51285#
2006#7 AZ#Grijalva, Raul Democratic#80354#
2006#7 AZ#Drake, Ron Republican#46498#
2006#7 AZ#Cobb, Joe Write-In,Libertarian,Libertarian#4673#
2006#8 AZ#Giffords, Gabrielle Democratic#137655#
2006#8 AZ#Graf, Randy Republican#106790#
2006#8 AZ#Nolan, David F. Libertarian#4849#
2006#8 AZ#Quick, Jay Independent#4408#
2006#8 AZ#Dove, Russ Write-In#7#
2006#8 AZ#Price, Paul Write-In#7#
2006#8 AZ#Kimminau, Leo F., Sr. Write-In#4#
2006#1 AR#Berry, Marion Democratic#127577#
2006#1 AR#"Stumbaugh, Mickey ""Stubby"" Republican"#56611#
2006#2 AR#Snyder, Vic Democratic#124871#
2006#2 AR#Mayberry, Andy Republican#81432#
2006#3 AR#Boozman, John Republican#125039#
2006#3 AR#Anderson, Woodrow Democratic#75885#
2006#4 AR#Ross, Mike Democratic#128236#
2006#4 AR#Ross, Joe Republican#43360#
2006#1 CA#Thompson, Mike Democratic#144409#
2006#1 CA#Jones, John W. Republican#63194#
2006#1 CA#Elizondo, Pamela Green#6899#
2006#1 CA#Stock, Timothy J. Peace and Freedom#3503#
2006#1 CA#Wolman, Carol Write-In#39#
2006#2 CA#Herger, Wally Republican#134911#
2006#2 CA#Sekhon, A. J. Democratic#68234#
2006#2 CA#Hinesley, E. Kent Libertarian#7057#
2006#3 CA#Lungren, Dan Republican#135709#
2006#3 CA#Durston, Bill Democratic#86318#
2006#3 CA#Tuma, Douglas Arthur Libertarian#3772#
2006#3 CA#Roskey, Michael Peace and Freedom#2370#
2006#4 CA#Doolittle, John T. Republican#135818#
2006#4 CA#Brown, Charlie Democratic#126999#
2006#4 CA#Warren, Dan Libertarian#14076#
2006#5 CA#Matsui, Doris O. Democratic#105676#
2006#5 CA#Yan, Claire Republican#35106#
2006#5 CA#Kravitz, Jeff Green#6466#
2006#5 CA#Reiger, John C. Peace and Freedom#2018#
2006#6 CA#Woolsey, Lynn Democratic#173190#
2006#6 CA#Hooper, Todd Republican#64405#
2006#6 CA#Halliwell, Mike Republican,Write-In#5#
2006#6 CA#Friesen, Richard W. Libertarian#9028#
2006#7 CA#Miller, George Democratic#118000#
2006#7 CA#McConnell, Camden Libertarian#22486#
2006#8 CA#Pelosi, Nancy Democratic#148435#
2006#8 CA#DeNunzio, Mike Republican#19800#
2006#8 CA#Keefer, Krissy Green#13653#
2006#8 CA#Berg, Philip Zimt Libertarian#2751#
2006#9 CA#Lee, Barbara Democratic#167245#
2006#9 CA#"den Dulk, John ""J.D."" Republican"#20786#
2006#9 CA#Eyer, James Libertarian#5655#
2006#10 CA#Tauscher, Ellen O. Democratic#130859#
2006#10 CA#Linn, Darcy Republican#66069#
2006#10 CA#Ketelson, Jeff Write-In#50#
2006#11 CA#McNerney, Jerry Democratic#109868#
2006#11 CA#Pombo, Richard W. Republican#96396#
2006#12 CA#Lantos, Tom Democratic#138650#
2006#12 CA#Moloney, Mike Republican#43674#
2006#13 CA#Stark, Fortney Pete Democratic#110756#
2006#13 CA#Bruno, George I. Republican#37141#
2006#14 CA#Eshoo, Anna G. Democratic#141153#
2006#14 CA#Smith, Rob Republican#48097#
2006#14 CA#Holtz, Brian Libertarian#4692#
2006#14 CA#Brouillet, Carol Green#4633#
2006#15 CA#Honda, Mike Democratic#115532#
2006#15 CA#Chukwu, Raymond L. Republican#44186#
2006#16 CA#Lofgren, Zoe Democratic#98929#
2006#16 CA#Winston, Charel Republican#37130#
2006#17 CA#Farr, Sam Democratic#120750#
2006#17 CA#De Maio, Anthony R. Republican#35932#
2006#17 CA#Taylor, Jeff Edward Write-In#2611#
2006#18 CA#Cardoza, Dennis A. Democratic#71182#
2006#18 CA#Kanno, John A. Republican#37531#
2006#19 CA#Radanovich, George P. Republican#110246#
2006#19 CA#Cox, T. J. Democratic#71748#
2006#20 CA#Costa, Jim Democratic#61120#
2006#21 CA#Nunes, Devin G. Republican#95214#
2006#21 CA#Haze, Steven Democratic#42718#
2006#21 CA#Miller, John Roger Green#4729#
2006#22 CA#McCarthy, Kevin Republican#133278#
2006#22 CA#Beery, Sharon Democratic#55226#
2006#23 CA#Capps, Lois Democratic#114661#
2006#23 CA#Tognazzini, Victor D. Republican#61272#
2006#23 CA#Gardner, H. A., Jr. Write-In#18#
2006#24 CA#Gallegy, Elton Republican#129812#
2006#24 CA#Martinez, Jill M. Democratic#79461#
2006#24 CA#Stettler, Michael Kurt Write-In#16#
2006#24 CA#Nicolle, Henry Write-In#3#
2006#25 CA#"McKeon, Howard P. ""Buck"" Republican"#93987#
2006#25 CA#Rodriguez, Robert Democratic#55913#
2006#25 CA#Erickson, David W. Libertarian#6873#
2006#26 CA#Dreier, David Republican#102028#
2006#26 CA#Matthews, Cynthia Rodriguez Democratic#67878#
2006#26 CA#Brown, Ted Libertarian#5887#
2006#26 CA#Graham, Elliot American Independent#3351#
2006#27 CA#Sherman, Brad Democratic#92650#
2006#27 CA#Hankwitz, Peter Republican#42074#
2006#28 CA#Berman, Howard L. Democratic#79866#
2006#28 CA#Kesselman, Stanley Kimmel Republican#20629#
2006#28 CA#De Lear, Byron Green#3868#
2006#28 CA#Ross, Kelley L. Libertarian#3679#
2006#29 CA#Schiff, Adam Democratic#91014#
2006#29 CA#Bodell, William J. Republican#39321#
2006#29 CA#Paparian, William M. Green#8197#
2006#29 CA#Llamas, Lynda L. Peace and Freedom#2599#
2006#29 CA#Keller, Jim Libertarian#2258#
2006#29 CA#Burton, John Write-In#15#
2006#30 CA#Waxman, Henry A. Democratic#151284#
2006#30 CA#Jones, David Nelson Republican#55904#
2006#30 CA#Cannon, Adele M. Peace and Freedom#4546#
2006#31 CA#Becerra, Xavier Democratic#64952#
2006#32 CA#Solis, Hilda L. Democratic#76059#
2006#32 CA#Faegre, Leland Libertarian#15627#
2006#33 CA#Watson, Diane E. Democratic#113715#
2006#34 CA#Roybal-Allard, Lucille Democratic#57459#
2006#34 CA#Miller, Wayne Republican#17359#
2006#34 CA#Crane, Naomi Write-In#1#
2006#35 CA#Waters, Maxine Democratic#82498#
2006#35 CA#Mego, Gordon Michael American Independent#8343#
2006#35 CA#Ireland, Paul T. Libertarian#7665#
2006#36 CA#Harman, Jane Democratic#105323#
2006#36 CA#Gibson, Brian Republican#53068#
2006#36 CA#Smith, James R. Peace and Freedom#4592#
2006#36 CA#Binkley, Mike Libertarian#3170#
2006#37 CA#Millender-McDonald, Juanita Democratic#80716#
2006#37 CA#Peters, Herb Libertarian#17246#
2006#38 CA#Napolitano, Grace F. Democratic#75181#
2006#38 CA#Street, Sidney W. Republican#24620#
2006#39 CA#Sanchez, Linda T. Democratic#72149#
2006#39 CA#Andion, James L. Republican#37384#
2006#40 CA#Royce, Ed Republican#100995#
2006#40 CA#Hoffman, Florice Orea Democratic#46418#
2006#40 CA#Inman, Philip H. Libertarian#3876#
2006#41 CA#Lewis, Jerry Republican#109761#
2006#41 CA#Contreras, Louie A. Democratic#54235#
2006#41 CA#Petersen, Carol Write-In#48#
2006#42 CA#Miller, Gary G. Republican#129720#
2006#43 CA#Baca, Joe Democratic#52791#
2006#43 CA#Folkens, Scott Republican#29069#
2006#44 CA#Calvert, Ken Republican#89555#
2006#44 CA#Vandenberg, Louis Democratic#55275#
2006#44 CA#Akin, Kevin Peace and Freedom#4486#
2006#45 CA#Bono, Mary Republican#99638#
2006#45 CA#Roth, David Democratic#64613#
2006#46 CA#Rohrabacher, Dana Republican#116176#
2006#46 CA#Brandt, Jim Democratic#71573#
2006#46 CA#Chang, Dennis Libertarian#7303#
