COX,  JOHN R.#AK#0#REP#2010#0.503333091
CRAWFORD,  HARRY T JR#AK#0#DEM#2010#0.451463551
FISHER,  SHELDON ALLRED#AK#0#REP#2010#0.503333091
YOUNG,  DONALD E#AK#0#REP#2010#0.503333091
BONNER,  JO#AL#1#REP#2010#1
GOUNARES,  PETER HUNTER#AL#1#REP#2010#1
WALTER,  DAVID MARSH#AL#1#CON#2010#0
BRIGHT SR,  BOBBY NEAL#AL#2#DEM#2010#0.503119054
BARBER,  RICK JOE#AL#2#REP#2010#0.496880946
JOHN,  ROBERT E JR#AL#2#IND#2010#0
MCKINNEY,  JOHN#AL#2#REP#2010#0.496880946
ROBY,  MARTHA#AL#2#REP#2010#0.496880946
BELL,  STEPHANIE WOLFE#AL#2#REP#2010#0.496880946
SEGREST,  STEPHEN GRAHAM#AL#3#DEM#2010#0.459004959
LAYFIELD,  MARK#AL#3#IND#2010#0
SEGALL,  JOSHUA STEVEN#AL#3#DEM#2010#0.459004959
ROGERS,  MICHAEL#AL#3#REP#2010#0.540995041
ADERHOLT,  ROBERT BROWN#AL#4#REP#2010#0.748582669
SHEPARD,  TAZEWELL#AL#5#DEM#2010#0.518011504
RABY,  STEPHEN WALKER#AL#5#DEM#2010#0.518011504
MAKER,  DAVID JOEL#AL#5#DEM#2010#0.518011504
PHILLIP,  LESTER S#AL#5#REP#2010#0.481988496
HOWIE,  MITCHELL JOHN#AL#5#DEM#2010#0.518011504
BROOKS,  MO#AL#5#REP#2010#0.481988496
GRIFFITH,  PARKER REP.#AL#5#REP#2010#0.481988496
LAMBERT,  PAUL ANTHONY#AL#6#REP#2010#1
BACHUS,  SPENCER T.#AL#6#REP#2010#1
COOKE,  STANLEY KYLE#AL#6#REP#2010#1
MOKOLO,  PATRICIA EVANS#AL#7#DEM#2010#1
CHAMBERLAIN,  DONALD NORWOOD#AL#7#REP#2010#0
BOZEMAN,  MARTHA RENEE#AL#7#UNK#2010#0
WALLER,  MICHELE#AL#7#REP#2010#0
SEWELL,  TERRI A.#AL#7#DEM#2010#1
WALTERS,  EDDISON T#AL#7#DEM#2010#1
PERKINS,  JAMES JR#AL#7#DEM#2010#1
SMOOT,  SHEILA#AL#7#DEM#2010#1
SALTER,  CHRIS#AL#7#REP#2010#0
LANKSTER,  FRANK#AL#7#DEM#2010#1
HILLIARD,  EARL FREDERICK JR#AL#7#DEM#2010#1
HENDRICKSON,  CAROL FLORRIE#AL#7#REP#2010#0
ADLER,  KEN#AR#1#GRE#2010#0
GREGORY,  JAMES CHRISTOPHER#AR#1#DEM#2010#1
SMITH,  PRINCELLA D#AR#1#REP#2010#0
GREEN,  TERRY GLENN#AR#1#DEM#2010#1
HIGGINS,  MICKEY VERNON#AR#1#UNK#2010#0
COOK,  DAVID RAY#AR#1#DEM#2010#1
BRYLES,  STEVE MARK#AR#1#DEM#2010#1
PONDER,  BEN#AR#1#DEM#2010#1
CRAWFORD,  ERIC ALAN RICK#AR#1#REP#2010#0
CAUSEY,  CHAD#AR#1#DEM#2010#1
WOOLRIDGE,  TYMOTHE (TIM) LYNN#AR#1#DEM#2010#1
MEEKS,  DAVID MARK EMERSON#AR#2#REP#2010#0
KENNEDY,  LEWIS#AR#2#GRE#2010#0.232176979
LEVI,  LANCE#AR#2#IND#2010#0
SUITS,  DANIAL#AR#2#UNK#2010#0
ELLIOTT,  JOYCE ANN#AR#2#DEM#2010#0.765425467
WALLACE,  SCOTT#AR#2#REP#2010#0
ADAMS,  JOHN#AR#2#DEM#2010#0.765425467
KENNEDY,  PATRICK#AR#2#DEM#2010#0.765425467
GRIFFIN,  JOHN TIMOTHY#AR#2#REP#2010#0
WILLS,  ROBERT DALE JR#AR#2#DEM#2010#0.765425467
BOLING,  DAVID ALAN#AR#2#DEM#2010#0.765425467
MATAYO,  DOUG#AR#3#REP#2010#0.78525503
SKOCH,  BERNARD KURT 'BERNIE'#AR#3#REP#2010#0.78525503
MADDOX,  KURT E#AR#3#REP#2010#0.78525503
BLEDSOE,  CECILE H#AR#3#REP#2010#0.78525503
WHITAKER,  DAVID JEFFREY#AR#3#DEM#2010#0
WOMACK,  STEVE#AR#3#REP#2010#0.78525503
MOORE,  MIKE C#AR#3#REP#2010#0.78525503
LOWRY,  STEVE MR.#AR#3#REP#2010#0.78525503
DELAY,  ROBERT GUNNER#AR#3#REP#2010#0.78525503
DRAKE,  JOSHUA#AR#4#GRE#2010#0.138276621
ROSS,  MICHAEL AVERY#AR#4#DEM#2010#0.861723379
GALLAS,  GLENN EDWARD#AR#4#REP#2010#0
RANKIN,  BETH ANNE#AR#4#REP#2010#0
TUIKA,  TUIKA#AS#0#NNE#2010#0
AUMUA,  AMATA#AS#0#REP#2010#0
FALEOMAVAEGA,  ENI#AS#0#DEM#2010#0
LANCASTER,  ROSIE FUALA'AU TAGO#AS#0#IND#2010#0
PATTI,  NICOLE#AZ#1#LIB#2010#0
TOBIN,  ANDREW (ANDY)#AZ#1#REP#2010#0.394293852
JARACZEWSKI,  JOE#AZ#1#REP#2010#0.394293852
JENSEN,  JON RICHARD#AZ#1#REP#2010#0.394293852
GRESSLEY,  FORREST DAYL#AZ#1#REP#2010#0.394293852
BEAUCHAMP,  BRADLEY DON#AZ#1#REP#2010#0.394293852
GOSAR,  PAUL ANTHONY ANTHONY#AZ#1#REP#2010#0.394293852
BOWERS,  RUSSELL WESLEY#AZ#1#REP#2010#0.394293852
HAY,  SYDNEY#AZ#1#REP#2010#0.394293852
ZALESKI,  THOMAS J#AZ#1#REP#2010#0.394293852
KIRKPATRICK,  ANN#AZ#1#DEM#2010#0.558817305
MEHTA,  STEVE#AZ#1#REP#2010#0.394293852
BLACK,  CHARLES ROLAND#AZ#2#REP#2010#0.594379672
SCHALLENBERGER,  STEVEN CRAIG#AZ#2#DEM#2010#0.371604891
GAMMILL,  POWELL#AZ#2#LIB#2010#0.02331794
CRUM,  WILLIAM STEPHEN#AZ#2#GRE#2010#0
THRASHER,  JOHN ARMIN#AZ#2#DEM#2010#0.371604891
FRANKS,  TRENT#AZ#2#REP#2010#0.594379672
ADAIR,  CLAY#AZ#3#LIB#2010#0.03853017
SCOTT,  BRIAN ALAN#AZ#3#IND#2010#0
WARING,  JAMES F#AZ#3#REP#2010#0.54077431
WINKLER,  EDWIN ROBERT MR#AZ#3#REP#2010#0.54077431
CLARK,  LEONARD#AZ#3#GRE#2010#0
BAKER,  SCOTT#AZ#3#REP#2010#0.54077431
SHOEN,  MICHAEL LEONARD#AZ#3#LIB#2010#0.03853017
MOAK,  STEVEN CARL#AZ#3#REP#2010#0.54077431
HULL,  LEANN#AZ#3#REP#2010#0.54077431
CHARLES,  ROBERT LINCOLN#AZ#3#REP#2010#0.54077431
GORMAN,  PAMELA DIANE#AZ#3#REP#2010#0.54077431
PARKER,  VERNON#AZ#3#REP#2010#0.54077431
CRUMP,  SAMUEL TURRENTINE SR#AZ#3#REP#2010#0.54077431
QUAYLE,  BEN#AZ#3#REP#2010#0.54077431
HULBURD,  JON#AZ#3#DEM#2010#0.42069552
BRANCH,  ROBERT ALLEN#AZ#3#REP#2010#0.54077431
MORRIS,  PAULINA VASQUEZ#AZ#3#REP#2010#0.54077431
HILL,  BRIAN#AZ#4#IND#2010#0
DEWITT,  REBECCA#AZ#4#GRE#2010#0.035876458
PASTOR,  ED L#AZ#4#DEM#2010#0.7210734
CONTRERAS,  JANET L#AZ#4#REP#2010#0.212453889
PENALOSA,  JOE#AZ#4#REP#2010#0.212453889
SPINKS,  MARK VINCENT#AZ#5#REP#2010#0.435735559
SMITH,  SUSAN BITTER#AZ#5#REP#2010#0.435735559
GENTRY,  LEE ADAM#AZ#5#REP#2010#0.435735559
HILL,  JONATHON RYAN#AZ#5#REP#2010#0.435735559
COONS,  NICK#AZ#5#LIB#2010#0.032664562
SCHWEIKERT,  DAVID#AZ#5#REP#2010#0.435735559
BLACKMAN,  RYAN#AZ#5#GRE#2010#0
WNUCK,  ERIC#AZ#5#REP#2010#0.435735559
WARD,  JIM#AZ#5#REP#2010#0.435735559
SALVINO,  CHRIS#AZ#5#REP#2010#0.435735559
MITCHELL,  HARRY E.#AZ#5#DEM#2010#0.531567778
TAPP,  DARELL#AZ#6#LIB#2010#0
BERGREN,  SCOTT#AZ#6#REP#2010#0.624168103
SCHNEIDER,  REBECCA#AZ#6#DEM#2010#0.345497582
FLAKE,  JEFF MR.#AZ#6#REP#2010#0.624168103
GRAYSON,  RICHARD#AZ#6#GRE#2010#0
SMITH,  JEFFREY W#AZ#6#REP#2010#0.624168103
KELSEY,  EASTON CLINT#AZ#6#REP#2010#0.624168103
WILSON,  ROBERT#AZ#7#REP#2010#0.32788095
MCCLUNG,  RUTH CRAWFORD#AZ#7#REP#2010#0.32788095
IBARRA,  ANDREW#AZ#7#LIB#2010#0
KEANE,  GEORGE#AZ#7#LIB#2010#0
MEYER,  HARLEY DEAN#AZ#7#IND#2010#0
FLOWERS,  CHRISTOPHER JOHN#AZ#7#REP#2010#0.32788095
SWEENEY,  JOSEPH DUDLEY#AZ#7#REP#2010#0.32788095
MYERS,  TERRY LON#AZ#7#REP#2010#0.32788095
GRIJALVA,  RAUL M#AZ#7#DEM#2010#0.632625745
CARLSON,  THOMAS A JR#AZ#8#REP#2010#0.42816801
GOSS,  VINCENT ANDREW#AZ#8#REP#2010#0.42816801
MILLER,  BRIAN ALLAN#AZ#8#REP#2010#0.42816801
QUICK,  JAY DUDLEY#AZ#8#REP#2010#0.42816801
GIFFORDS,  GABRIELLE#AZ#8#DEM#2010#0.54720562
STOLTZ,  STEVEN#AZ#8#LIB#2010#0.024617231
PATON,  JONATHAN#AZ#8#REP#2010#0.42816801
KELLY,  JESSE#AZ#8#REP#2010#0.42816801
WOLMAN,  CAROL STONE#CA#1#GRE#2010#0.085354182
FRANCK,  RANDY#CA#1#REP#2010#0.233595665
RODRIGUES,  MIKE#CA#1#LIB#2010#0
HANKS,  LOREN L#CA#1#REP#2010#0.233595665
THOMPSON,  MIKE MR.#CA#1#DEM#2010#0.681001955
JENSEN,  MARK A.#CA#2#W#2010#0
REED,  JAMES E#CA#2#DEM#2010#0.421050022
STIGLICH,  PETER VINCENT#CA#2#REP#2010#0.578949978
HERGER,  WALLY#CA#2#REP#2010#0.578949978
DURSTON,  BILL#CA#3#DEM#2010#0.439333728
SLATON,  BILL#CA#3#DEM#2010#0.439333728
DAVIS,  GARY#CA#3#DEM#2010#0.439333728
LEIDECKER,  JERRY L#CA#3#AIP#2010#0
ROSKEY,  MICHAEL#CA#3#PAF#2010#0
LUNGREN,  DANIEL E.#CA#3#REP#2010#0.494908389
FAVIS,  STEVE DONALD#CA#3#IND#2010#0
BERA,  AMERISH#CA#3#DEM#2010#0.439333728
BROWN,  CHARLES#CA#4#DEM#2010#0.49756612
BABICH,  MICHAEL#CA#4#REP#2010#0.50243388
EMERY,  BENJAMIN 'BEN'#CA#4#GRE#2010#0
CURTIS,  CLINT#CA#4#DEM#2010#0.49756612
MCCLINTOCK,  THOMAS#CA#4#REP#2010#0.50243388
LACY ,  TONY#CA#5#W#2010#0
FRINK,  GERALD ALLEN#CA#5#PAF#2010#0
MATSUI,  DORIS#CA#5#DEM#2010#0.742655604
SMITH,  PAUL#CA#5#REP#2010#0.208007958
SMITT,  ERIK#CA#5#REP#2010#0.208007958
ROMANOWSKY,  PETER CHRISTIAN#CA#6#REP#2010#0.240580968
SMOLLEN,  JOEL#CA#6#LIB#2010#0.042505041
RUYLE,  EUGENE E#CA#6#PAF#2010#0
ROBERTS,  DANIEL W#CA#6#AIP#2010#0
HALLIWELL,  MIKE#CA#6#DEM#2010#0.716913991
WOOLSEY,  LYNN C.#CA#6#DEM#2010#0.716913991
JUDD,  JAMES O JR.#CA#6#REP#2010#0.240580968
PETERSEN,  ROGER ALLEN#CA#7#REP#2010#0.217938179
FITZGERALD,  JOHN#CA#7#DEM#2010#0.728201284
RAY,  EUGENE#CA#7#REP#2010#0.217938179
MILLER,  GEORGE#CA#7#DEM#2010#0.728201284
TUBBS,  RICHARD STEPHEN II#CA#7#REP#2010#0.217938179
FULLER-KENDALL,  VIRGINIA#CA#7#REP#2010#0.217938179
SHIELDS,  SUMMER J#CA#8#W#2010#0
LA RIVA,  GLORIA E#CA#8#PAF#2010#0
BERG,  PHILIP ZIMT#CA#8#LIB#2010#0.022801292
