Bonner, Jo#AL#1#REP#2010#1
Walter, David#AL#1#OTHER#2010#0
Roby, Martha#AL#2#REP#2010#0.496880946
Bright, Bobby#AL#2#DEM#2010#0.503119054
Rogers, Mike#AL#3#REP#2010#0.540995041
Segrest, Steve#AL#3#DEM#2010#0.459004959
Aderholt, Robert#AL#4#REP#2010#0.748582669
Brooks, Mo#AL#5#REP#2010#0.481988496
Raby, Steve#AL#5#DEM#2010#0.518011504
Bachus, Spencer#AL#6#REP#2010#1
Sewell, Terri A.#AL#7#DEM#2010#1
Chamberlain, Don#AL#7#REP#2010#0
Young, Don#AK#0#REP#2010#0.503333091
Crawford, Harry T., Jr.#AK#0#DEM#2010#0.451463551
Gosar, Paul#AZ#1#REP#2010#0.394293852
Kirkpatrick, Ann#AZ#1#DEM#2010#0.558817305
Patti, Nicole#AZ#1#OTHER#2010#0.013192868
Franks, Trent#AZ#2#REP#2010#0.594379672
Thrasher, John#AZ#2#DEM#2010#0.371604891
Gammill, Powell#AZ#2#LIB#2010#0.02331794
William, Crum#AZ#2#WRI#2010#0
Rankin, Mark#AZ#2#WRI#2010#0
Quayle, Ben#AZ#3#REP#2010#0.54077431
Hulburd, Jon#AZ#3#DEM#2010#0.42069552
Shoen, Michael#AZ#3#LIB#2010#0.03853017
Clark, Leonard#AZ#3#OTHER#2010#0
Pastor, Ed#AZ#4#DEM#2010#0.7210734
Contreras, Janet#AZ#4#REP#2010#0.212453889
Cobb, Joe#AZ#4#LIB#2010#0.030596253
Dewitt, Rebecca#AZ#4#GRE#2010#0.035876458
Schweikert, David#AZ#5#REP#2010#0.435735559
Mitchell, Harry#AZ#5#DEM#2010#0.531567778
Coons, Nick#AZ#5#LIB#2010#0.032664562
Flake, Jeff#AZ#6#REP#2010#0.624168103
Schneider, Rebecca#AZ#6#DEM#2010#0.345497582
Tapp, Darell#AZ#6#OTHER#2010#0
Grayson, Richard#AZ#6#OTHER#2010#0
Grijalva, Raúl M.#AZ#7#DEM#2010#0.632625745
McClung, Ruth#AZ#7#REP#2010#0.32788095
Myer, Harley#AZ#7#IND#2010#0
Keane, George#AZ#7#LIB#2010#0
Giffords, Gabrielle#AZ#8#DEM#2010#0.54720562
Kelly, Jesse#AZ#8#REP#2010#0.42816801
Stoltz, Steven#AZ#8#LIB#2010#0.024617231
Crawford, Rick#AR#1#REP#2010#0
Causey, Chad#AR#1#DEM#2010#1
Adler, Ken#AR#1#GRE#2010#0
Higgins, Mickey#AR#1#WRI#2010#0
Griffin, Tim#AR#2#REP#2010#0
Elliott, Joyce#AR#2#DEM#2010#0.765425467
