Bonner, Jo#AL#1#REP#2006#112944
Beckerle, Vivian Sheffield#AL#1#DEM#2006#52770
Everett, Terry#AL#2#REP#2006#124302
James, Charles (Chuck) Dean#AL#2#DEM#2006#54450
Rogers, Mike#AL#3#REP#2006#98257
Pierce, Greg A.#AL#3#DEM#2006#63559
Layfield, Mark Edwin#AL#3#IND#2006#3414
Aderholt, Robert B.#AL#4#REP#2006#128484
Bobo, Barbara#AL#4#DEM#2006#54382
Cramer, Bud#AL#5#DEM#2006#143015
Bachus, Spencer#AL#6#REP#2006#163514
Davis, Artur#AL#7#DEM#2006#133870
Young, Don E.#AK#0#REP#2006#132743
Benson, Diane E.#AK#0#DEM#2006#93879
Crawford, Alexander#AK#0#LIB#2006#4029
Ince, Eva L.#AK#0#GRE#2006#1819
"""""""Ratigan, William W. """"""""Bill"""""""""""""""#AK#0#OTHER#2006#1615
Renzi, Rick#AZ#1#REP#2006#105646
Simon, Ellen#AZ#1#DEM#2006#88691
Schlosser, David#AZ#1#LIB#2006#9802
Franks, Trent#AZ#2#REP#2006#135150
Thrasher, John#AZ#2#DEM#2006#89671
Gammill, Powell#AZ#2#LIB#2006#5734
Crum, William#AZ#2#WRI#2006#5
Shadegg, John#AZ#3#REP#2006#112519
Paine, Herb#AZ#3#DEM#2006#72586
Yannone, Mark#AZ#3#LIB#2006#4744
Pastor, Ed#AZ#4#DEM#2006#56464
Karg, Don#AZ#4#REP#2006#18627
Harders, Ronald#AZ#4#OTHER#2006#2770
Mitchell, Harry#AZ#5#DEM#2006#101838
Hayworth, J.D.#AZ#5#REP#2006#93815
Severin, Warren#AZ#5#LIB#2006#6357
Flake, Jeff#AZ#6#REP#2006#152201
Blair, Jason M.#AZ#6#OTHER#2006#51285
Grijalva, Raul#AZ#7#DEM#2006#80354
Drake, Ron#AZ#7#REP#2006#46498
Cobb, Joe#AZ#7#OTHER#2006#4673
Giffords, Gabrielle#AZ#8#DEM#2006#137655
Graf, Randy#AZ#8#REP#2006#106790
Nolan, David F.#AZ#8#LIB#2006#4849
Quick, Jay#AZ#8#IND#2006#4408
Dove, Russ#AZ#8#WRI#2006#7
Price, Paul#AZ#8#WRI#2006#7
Kimminau, Leo F., Sr.#AZ#8#WRI#2006#4
Berry, Marion#AR#1#DEM#2006#127577
"""""""Stumbaugh, Mickey """"""""Stubby"""""""""""""""#AR#1#REP#2006#56611
Snyder, Vic#AR#2#DEM#2006#124871
Mayberry, Andy#AR#2#REP#2006#81432
Boozman, John#AR#3#REP#2006#125039
Anderson, Woodrow#AR#3#DEM#2006#75885
Ross, Mike#AR#4#DEM#2006#128236
Ross, Joe#AR#4#REP#2006#43360
Thompson, Mike#CA#1#DEM#2006#144409
Jones, John W.#CA#1#REP#2006#63194
Elizondo, Pamela#CA#1#GRE#2006#6899
Stock, Timothy J.#CA#1#OTHER#2006#3503
Wolman, Carol#CA#1#WRI#2006#39
Herger, Wally#CA#2#REP#2006#134911
Sekhon, A. J.#CA#2#DEM#2006#68234
Hinesley, E. Kent#CA#2#LIB#2006#7057
Lungren, Dan#CA#3#REP#2006#135709
Durston, Bill#CA#3#DEM#2006#86318
Tuma, Douglas Arthur#CA#3#LIB#2006#3772
Roskey, Michael#CA#3#OTHER#2006#2370
Doolittle, John T.#CA#4#REP#2006#135818
Brown, Charlie#CA#4#DEM#2006#126999
Warren, Dan#CA#4#LIB#2006#14076
Matsui, Doris O.#CA#5#DEM#2006#105676
Yan, Claire#CA#5#REP#2006#35106
Kravitz, Jeff#CA#5#GRE#2006#6466
Reiger, John C.#CA#5#OTHER#2006#2018
Woolsey, Lynn#CA#6#DEM#2006#173190
Hooper, Todd#CA#6#REP#2006#64405
Halliwell, Mike#CA#6#OTHER#2006#5
Friesen, Richard W.#CA#6#LIB#2006#9028
Miller, George#CA#7#DEM#2006#118000
McConnell, Camden#CA#7#LIB#2006#22486
Pelosi, Nancy#CA#8#DEM#2006#148435
DeNunzio, Mike#CA#8#REP#2006#19800
Keefer, Krissy#CA#8#GRE#2006#13653
Berg, Philip Zimt#CA#8#LIB#2006#2751
Lee, Barbara#CA#9#DEM#2006#167245
"""""""den Dulk, John """"""""J.D."""""""""""""""#CA#9#REP#2006#20786
Eyer, James#CA#9#LIB#2006#5655
Tauscher, Ellen O.#CA#10#DEM#2006#130859
Linn, Darcy#CA#10#REP#2006#66069
Ketelson, Jeff#CA#10#WRI#2006#50
McNerney, Jerry#CA#11#DEM#2006#109868
Pombo, Richard W.#CA#11#REP#2006#96396
Lantos, Tom#CA#12#DEM#2006#138650
Moloney, Mike#CA#12#REP#2006#43674
Stark, Fortney Pete#CA#13#DEM#2006#110756
Bruno, George I.#CA#13#REP#2006#37141
Eshoo, Anna G.#CA#14#DEM#2006#141153
Smith, Rob#CA#14#REP#2006#48097
Holtz, Brian#CA#14#LIB#2006#4692
Brouillet, Carol#CA#14#GRE#2006#4633
Honda, Mike#CA#15#DEM#2006#115532
Chukwu, Raymond L.#CA#15#REP#2006#44186
Lofgren, Zoe#CA#16#DEM#2006#98929
Winston, Charel#CA#16#REP#2006#37130
Farr, Sam#CA#17#DEM#2006#120750
De Maio, Anthony R.#CA#17#REP#2006#35932
Taylor, Jeff Edward#CA#17#WRI#2006#2611
Cardoza, Dennis A.#CA#18#DEM#2006#71182
Kanno, John A.#CA#18#REP#2006#37531
Radanovich, George P.#CA#19#REP#2006#110246
Cox, T. J.#CA#19#DEM#2006#71748
Costa, Jim#CA#20#DEM#2006#61120
Nunes, Devin G.#CA#21#REP#2006#95214
Haze, Steven#CA#21#DEM#2006#42718
Miller, John Roger#CA#21#GRE#2006#4729
McCarthy, Kevin#CA#22#REP#2006#133278
Beery, Sharon#CA#22#DEM#2006#55226
Capps, Lois#CA#23#DEM#2006#114661
Tognazzini, Victor D.#CA#23#REP#2006#61272
Gardner, H. A., Jr.#CA#23#WRI#2006#18
Gallegy, Elton#CA#24#REP#2006#129812
Martinez, Jill M.#CA#24#DEM#2006#79461
Stettler, Michael Kurt#CA#24#WRI#2006#16
Nicolle, Henry#CA#24#WRI#2006#3
"""""""McKeon, Howard P. """"""""Buck"""""""""""""""#CA#25#REP#2006#93987
Rodriguez, Robert#CA#25#DEM#2006#55913
Erickson, David W.#CA#25#LIB#2006#6873
Dreier, David#CA#26#REP#2006#102028
Matthews, Cynthia Rodriguez#CA#26#DEM#2006#67878
Brown, Ted#CA#26#LIB#2006#5887
Graham, Elliot#CA#26#OTHER#2006#3351
Sherman, Brad#CA#27#DEM#2006#92650
Hankwitz, Peter#CA#27#REP#2006#42074
Berman, Howard L.#CA#28#DEM#2006#79866
Kesselman, Stanley Kimmel#CA#28#REP#2006#20629
De Lear, Byron#CA#28#GRE#2006#3868
Ross, Kelley L.#CA#28#LIB#2006#3679
Schiff, Adam#CA#29#DEM#2006#91014
Bodell, William J.#CA#29#REP#2006#39321
Paparian, William M.#CA#29#GRE#2006#8197
Llamas, Lynda L.#CA#29#OTHER#2006#2599
Keller, Jim#CA#29#LIB#2006#2258
Burton, John#CA#29#WRI#2006#15
Waxman, Henry A.#CA#30#DEM#2006#151284
Jones, David Nelson#CA#30#REP#2006#55904
Cannon, Adele M.#CA#30#OTHER#2006#4546
Becerra, Xavier#CA#31#DEM#2006#64952
Solis, Hilda L.#CA#32#DEM#2006#76059
Faegre, Leland#CA#32#LIB#2006#15627
Watson, Diane E.#CA#33#DEM#2006#113715
Roybal-Allard, Lucille#CA#34#DEM#2006#57459
Miller, Wayne#CA#34#REP#2006#17359
Crane, Naomi#CA#34#WRI#2006#1
Waters, Maxine#CA#35#DEM#2006#82498
Mego, Gordon Michael#CA#35#OTHER#2006#8343
Ireland, Paul T.#CA#35#LIB#2006#7665
Harman, Jane#CA#36#DEM#2006#105323
Gibson, Brian#CA#36#REP#2006#53068
Smith, James R.#CA#36#OTHER#2006#4592
Binkley, Mike#CA#36#LIB#2006#3170
Millender-McDonald, Juanita#CA#37#DEM#2006#80716
Peters, Herb#CA#37#LIB#2006#17246
Napolitano, Grace F.#CA#38#DEM#2006#75181
Street, Sidney W.#CA#38#REP#2006#24620
Sanchez, Linda T.#CA#39#DEM#2006#72149
Andion, James L.#CA#39#REP#2006#37384
Royce, Ed#CA#40#REP#2006#100995
Hoffman, Florice Orea#CA#40#DEM#2006#46418
Inman, Philip H.#CA#40#LIB#2006#3876
Lewis, Jerry#CA#41#REP#2006#109761
Contreras, Louie A.#CA#41#DEM#2006#54235
Petersen, Carol#CA#41#WRI#2006#48
Miller, Gary G.#CA#42#REP#2006#129720
Baca, Joe#CA#43#DEM#2006#52791
Folkens, Scott#CA#43#REP#2006#29069
Calvert, Ken#CA#44#REP#2006#89555
Vandenberg, Louis#CA#44#DEM#2006#55275
Akin, Kevin#CA#44#OTHER#2006#4486
Bono, Mary#CA#45#REP#2006#99638
Roth, David#CA#45#DEM#2006#64613
Rohrabacher, Dana#CA#46#REP#2006#116176
Brandt, Jim#CA#46#DEM#2006#71573
Chang, Dennis#CA#46#LIB#2006#7303
Sanchez, Loretta#CA#47#DEM#2006#47134
Nguyen, Tan#CA#47#REP#2006#28485
Campbell, John#CA#48#REP#2006#120130
Young, Steve#CA#48#DEM#2006#74647
Cohen, Bruce#CA#48#LIB#2006#5750
Issa, Darrell#CA#49#REP#2006#98831
Criscenzo, Jeeni#CA#49#DEM#2006#52227
Grossmith, Lars R.#CA#49#LIB#2006#4952
Ford, Frank#CA#49#WRI#2006#127
Bilbray, Brian P.#CA#50#REP#2006#118018
Busby, Francine#CA#50#DEM#2006#96612
King, Paul#CA#50#LIB#2006#4119
Clark, Miriam E.#CA#50#OTHER#2006#3353
Filner, Bob#CA#51#DEM#2006#78114
Miles, Blake L.#CA#51#REP#2006#34931
Litwin, Dan#CA#51#LIB#2006#2790
Arguello, David#CA#51#WRI#2006#4
Hunter, Duncan#CA#52#REP#2006#123696
Rinaldi, John#CA#52#DEM#2006#61208
Benoit, Michael#CA#52#LIB#2006#6465
Davis, Susan A.#CA#53#DEM#2006#97541
"""""""Woodrum, John """"""""Woody"""""""""""""""#CA#53#REP#2006#43312
Lippe, Ernie#CA#53#LIB#2006#3534
DeGette, Diana L.#CO#1#DEM#2006#129446
Kelly, Thomas D.#CO#1#GRE#2006#32825
