Bonner, Jo#AL#1#REP#2008#210660#1
Bright, Bobby#AL#2#DEM#2008#144368#0.503119054
Love, Jay#AL#2#REP#2008#142578#0.496880946
Rogers, Mike#AL#3#REP#2008#142708#0.540995041
Segall, Joshua#AL#3#DEM#2008#121080#0.459004959
Aderholt, Robert#AL#4#REP#2008#196741#0.748582669
Sparks, Nicholas B.#AL#4#DEM#2008#66077#0.251417331
Griffith, Parker#AL#5#DEM#2008#158324#0.518011504
Parker, Wayne#AL#5#REP#2008#147314#0.481988496
Bachus, Spencer#AL#6#REP#2008#280902#1
Davis, Artur#AL#7#DEM#2008#228518#1
Young, Don E.#AK#0#REP#2008#158939#0.503333091
Berkowitz, Ethan A.#AK#0#DEM#2008#142560#0.451463551
Wright, Don R.#AK#0#OTHER#2008#14274#0.045203358
Kirkpatrick, Ann#AZ#1#DEM#2008#155791#0.558817305
Hay, Sydney#AZ#1#REP#2008#109924#0.394293852
Maupin, Brent#AZ#1#IND#2008#9394#0.033695976
Eichenauer, Thane#AZ#1#OTHER#2008#3678#0.013192868
Franks, Trent#AZ#2#REP#2008#200914#0.594379672
Thrasher, John#AZ#2#DEM#2008#125611#0.371604891
Gammill, Powell#AZ#2#LIB#2008#7882#0.02331794
Crum, William#AZ#2#GRE#2008#3616#0.010697497
Shadegg, John#AZ#3#REP#2008#148800#0.54077431
Lord, Bob#AZ#3#DEM#2008#115759#0.42069552
Shoen, Michael#AZ#3#LIB#2008#10602#0.03853017
Pastor, Ed#AZ#4#DEM#2008#89721#0.7210734
Karg, Don#AZ#4#REP#2008#26435#0.212453889
DeWitt, Rebecca#AZ#4#GRE#2008#4464#0.035876458
Cobb, Joe#AZ#4#LIB#2008#3807#0.030596253
Mitchell, Harry#AZ#5#DEM#2008#149033#0.531567778
Schweikert, David#AZ#5#REP#2008#122165#0.435735559
Severin, Warren#AZ#5#LIB#2008#9158#0.032664562
Hughes, Ralph#AZ#5#WRI#2008#9#3.21E-05
Flake, Jeff#AZ#6#REP#2008#208582#0.624168103
Schneider, Rebecca#AZ#6#DEM#2008#115457#0.345497582
Biondi, Rick#AZ#6#LIB#2008#10137#0.030334315
Grijalva, Raúl#AZ#7#DEM#2008#124304#0.632625745
Sweeney, Joseph#AZ#7#REP#2008#64425#0.32788095
Petrulsky, Raymond Patrick#AZ#7#OTHER#2008#7755#0.039467858
Meyer, Harley#AZ#7#WRI#2008#5#2.54E-05
Giffords, Gabrielle#AZ#8#DEM#2008#179629#0.54720562
Bee, Tim#AZ#8#REP#2008#140553#0.42816801
Davis, Paul#AZ#8#LIB#2008#8081#0.024617231
Price, Paul#AZ#8#WRI#2008#3#9.14E-06
Berry, Marion#AR#1#DEM#2008#1#1
Snyder, Vic#AR#2#DEM#2008#212303#0.765425467
McFarland, Deb#AR#2#GRE#2008#64398#0.232176979
Suits, Danial#AR#2#WRI#2008#665#0.002397554
Boozman, John#AR#3#REP#2008#215196#0.78525503
Tomlinson, Abel Noah#AR#3#GRE#2008#58850#0.21474497
Ross, Mike#AR#4#DEM#2008#203178#0.861723379
Drake, Joshua#AR#4#GRE#2008#32603#0.138276621
Thompson, Mike#CA#1#DEM#2008#197812#0.681001955
Starkewolf, Zane#CA#1#REP#2008#67853#0.233595665
Wolman, Carol#CA#1#GRE#2008#24793#0.085354182
Elizondo, Pamela#CA#1#WRI#2008#14#4.82E-05
Herger, Wally#CA#2#REP#2008#163459#0.578949978
Morris, Jeff#CA#2#DEM#2008#118878#0.421050022
Lungren, Dan#CA#3#REP#2008#155424#0.494908389
Durston, William#CA#3#DEM#2008#137971#0.439333728
Padilla, Dina J.#CA#3#OTHER#2008#13378#0.042598855
Tuma, Douglas Arthur#CA#3#LIB#2008#7273#0.023159028
McClintock, Tom#CA#4#REP#2008#185790#0.50243388
Brown, Charlie#CA#4#DEM#2008#183990#0.49756612
Matsui, Doris#CA#5#DEM#2008#164242#0.742655604
Smith, Paul A.#CA#5#REP#2008#46002#0.208007958
Roberts, L. R.#CA#5#OTHER#2008#10731#0.048522529
Lynch, David B.#CA#5#WRI#2008#180#0.000813909
Woolsey, Lynn#CA#6#DEM#2008#229672#0.716913991
Halliwell, Michael#CA#6#REP#2008#77073#0.240580968
Smolen, Joel R.#CA#6#LIB#2008#13617#0.042505041
Miller, George#CA#7#DEM#2008#170962#0.728201284
Petersen, Roger Allen#CA#7#REP#2008#51166#0.217938179
Callison, Bill#CA#7#OTHER#2008#6695#0.028516908
McConnell, Camden#CA#7#LIB#2008#5950#0.02534363
Pelosi, Nancy#CA#8#DEM#2008#204996#0.718661371
Sheehan, Cindy#CA#8#IND#2008#46118#0.161677423
Walsh, Dana#CA#8#REP#2008#27614#0.096807328
Berg, Philip Z.#CA#8#LIB#2008#6504#0.022801292
Sherman, Lea#CA#8#WRI#2008#11#3.86E-05
Clay, Michelle Wong#CA#8#WRI#2008#4#1.40E-05
Lee, Barbara#CA#9#DEM#2008#238915#0.860644813
Hargrave, Charles#CA#9#REP#2008#26917#0.096963256
Eyer, James M.#CA#9#LIB#2008#11704#0.042161383
Heller, David#CA#9#WRI#2008#37#0.000133285
Kula, Christopher#CA#9#WRI#2008#27#9.73E-05
Tauscher, Ellen O.#CA#10#DEM#2008#192226#0.651249301
Gerber, Nicholas#CA#10#REP#2008#91877#0.311273356
Ruyle, Eugene E.#CA#10#OTHER#2008#11062#0.037477343
McNerney, Jerry#CA#11#DEM#2008#164500#0.55272566
Andal, Dean#CA#11#REP#2008#133104#0.44723402
Christensen, David#CA#11#WRI#2008#12#4.03E-05
Speier, Jackie#CA#12#DEM#2008#200442#0.751132646
Conlon, Greg#CA#12#REP#2008#49258#0.184588519
Hrizi, Nathalie#CA#12#OTHER#2008#5793#0.021708581
Hermanson, Barry#CA#12#GRE#2008#5776#0.021644876
Peterson, Kevin Dempsey#CA#12#LIB#2008#5584#0.020925378
Stark, Fortney#CA#13#DEM#2008#166829#0.764302993
Chui, Raymond#CA#13#REP#2008#51447#0.235697007
Eshoo, Anna G.#CA#14#DEM#2008#190301#0.697671264
Santana, Ronny#CA#14#REP#2008#60610#0.222205114
Holtz, Brian#CA#14#LIB#2008#11929#0.043733457
Brouillet, Carol#CA#14#GRE#2008#9926#0.036390166
Honda, Mike#CA#15#DEM#2008#170977#0.716617279
Cordi, Joyce Stoer#CA#15#REP#2008#55489#0.232571493
Myers, Peter#CA#15#GRE#2008#12123#0.050811228
Lofgren, Zoe#CA#16#DEM#2008#146481#0.713403498
