forecastdate,state,district,special,candidate,party,incumbent,model,win_probability,voteshare,p10_voteshare,p90_voteshare,won
02-10-18,AK,0,,Don Young,R,TRUE,deluxe,0.8451,51.12,45.21,56.93,1
02-10-18,AL,1,,Bradley Byrne,R,TRUE,deluxe,0.9998,65.3,60.48,70.05,1
02-10-18,AL,2,,Martha Roby,R,TRUE,deluxe,0.988,59.41,54.41,64.41,1
02-10-18,AL,3,,Mike Rogers,R,TRUE,deluxe,0.9989,62.82,58.12,67.57,1
02-10-18,AL,4,,Robert B. Aderholt,R,TRUE,deluxe,1,77.02,72.11,81.9,1
02-10-18,AL,5,,Mo Brooks,R,TRUE,deluxe,0.9992,63.92,59.04,68.78,1
02-10-18,AL,6,,Gary Palmer,R,TRUE,deluxe,1,67.56,62.84,72.25,1
02-10-18,AL,7,,Terri A. Sewell,D,TRUE,deluxe,1,100,100,100,1
02-10-18,AR,1,,Rick Crawford,R,TRUE,deluxe,0.9995,62.88,57.72,67.97,1
02-10-18,AR,2,,French Hill,R,TRUE,deluxe,0.8464,51.85,47.48,56.2,1
02-10-18,AR,3,,Steve Womack,R,TRUE,deluxe,0.9991,61.53,56.58,66.35,1
02-10-18,AR,4,,Bruce Westerman,R,TRUE,deluxe,0.9996,62.11,57.26,66.93,1
02-10-18,AZ,1,,Tom O'Halleran,D,TRUE,deluxe,0.9081,55.32,50.2,60.4,1
02-10-18,AZ,2,,Ann Kirkpatrick,D,FALSE,deluxe,0.9312,54.77,50.7,58.86,1
02-10-18,AZ,3,,Raul Grijalva,D,TRUE,deluxe,0.9999,69.52,64.29,74.74,1
02-10-18,AZ,4,,Paul A. Gosar,R,TRUE,deluxe,0.9998,63.45,58.4,68.46,1
02-10-18,AZ,5,,Andy Biggs,R,TRUE,deluxe,0.9987,63.76,58.74,68.76,1
02-10-18,AZ,6,,David Schweikert,R,TRUE,deluxe,0.9033,55.23,50.08,60.34,1
02-10-18,AZ,7,,Ruben Gallego,D,TRUE,deluxe,0.9999,86.25,79.49,92.42,1
02-10-18,AZ,8,,Debbie Lesko,R,TRUE,deluxe,0.8974,54.58,49.94,59.14,1
02-10-18,AZ,9,,Greg Stanton,D,FALSE,deluxe,0.9954,60.81,55.96,65.71,1
02-10-18,CA,1,,Doug LaMalfa,R,TRUE,deluxe,0.9389,56.63,51.21,62.03,1
