filler,filler,filler,filler,state,district,partyLEFT,filler,filler,filler,filler,Party_Previous_Vote_ShareLEFT,IncumbentLEFT,filler,filler,filler,filler,filler,filler,filler,filler,filler,RaisedLEFT,SpentLEFT,filler,filler,filler,candidateRIGHT,filler,filler,partyRIGHT,filler,filler,filler,filler,Party_Previous_Vote_ShareRIGHT,IncumbentRIGHT,filler,filler,filler,filler,filler,filler,filler,filler,filler,RaisedRIGHT,SpentRIGHT,PollingLEFT,PollingRIGHT,Wave,won
1657,10164,10167,"BYRNE, BRADLEY ROBERTS",AL,1,REP,2018,0.352134031,23.3,REP,1,1,0.32747,1,0.62,TRUE,0,47984,57,100,74.3,1235570.11,645776.76,0,10165,10165,"KENNEDY, ROBERT JR.",AL,1,DEM,2018,0.352134031,23.3,REP,0,0,0.32747,1,0.62,FALSE,0,47984,7,80.8,74.3,76091.03,31564.26,1,0,7.3,0
1658,10170,10171,"ISNER, TABITHA KAY",AL,2,DEM,2018,0.380884473,21.8,REP,0.453655167,0,0.35441,0,0.62,FALSE,4,46579,500,60.4,76.3,405460.57,267916.56,0,10172,10170,"ROBY, MARTHA",AL,2,REP,2018,0.380884473,21.8,REP,0.546344833,1,0.35441,0,0.62,TRUE,4,46579,161,39,76.3,2479632.21,2065173.18,0.453655167,0.546344833,7.3,0
1659,10175,10175,"HAGAN, MALLORY",AL,3,DEM,2018,0.404995567,21.2,REP,0.329124031,0,0.31324,0,0.62,FALSE,4,46484,500,65.8,76.6,326639.05,302355.16,0,10176,10179,"ROGERS, MICHAEL",AL,3,REP,2018,0.404995567,21.2,REP,0.670875969,1,0.31324,1,0.62,TRUE,4,46484,1,100,76.6,1185228.39,610499.06,0.329124031,0.670875969,7.3,0
1660,10179,10184,"ADERHOLT, ROBERT B. REP.",AL,4,REP,2018,0.215546212,16.3,REP,1,1,0.13331,1,0.62,TRUE,4,43218,7,81.5,76.06,1452763.64,834621.99,0,10180,10185,"AUMAN, JAMES LEE",AL,4,DEM,2018,0.215546212,16.3,REP,0,0,0.13331,1,0.62,FALSE,4,43218,5,54.1,76.06,55672.52,45634.2,1,0,7.3,0
1661,10185,10187,"BROOKS, MO",AL,5,REP,2018,0.326284363,30.5,REP,0.668447749,1,0.24224,1,0.62,TRUE,0,54707,500,61.3,78.3,1421378.49,1824411.31,0,10189,10186,"JOFFRION, PETER S.",AL,5,DEM,2018,0.326284363,30.5,REP,0.331552251,0,0.24224,1,0.62,FALSE,0,54707,55,100,78.3,488944.9,365026.25,0.668447749,0.331552251,7.3,0
1662,10191,10192,"KLINE, DANNER",AL,6,DEM,2018,0.424078668,35.2,REP,0.252320814,0,0.21697,1,0.62,FALSE,0,65170,500,100,78.3,256383.23,161621.12,0,10192,10193,"PALMER, GARY",AL,6,REP,2018,0.424078668,35.2,REP,0.747679186,1,0.21697,1,0.62,TRUE,0,65170,47,100,78.3,1098673.97,772846.87,0.252320814,0.747679186,7.3,0
1663,10156,10157,"GALVIN, ALYSE",AK,0,IND,2018,,28.8,IND,0,0,0.35812,0,0.48,FALSE,0,73181,500,54.1,76.1,,,0,10162,10159,"YOUNG, DONALD E",AK,0,REP,2018,,28.8,IND,0,1,0.35812,1,0.48,TRUE,0,73181,42,70.9,76.1,1003579.47,960955.52,0.491666667,0.508333333,7.3,0
1664,10225,10225,"O'HALLERAN, TOM",AZ,1,DEM,2018,0.481411925,23.6,REP,0.508007604,1,0.3353,1,0.47,FALSE,4,50303,20,100,74.5,2219418.25,1471073.54,0,10227,10228,"ROGERS, WENDY",AZ,1,REP,2018,0.481411925,23.6,REP,0.435040754,0,0.3353,0,0.47,TRUE,4,50303,36,43.7,74.5,0,0,0.492416667,0.507583333,7.3,0
1665,10232,10232,"KIRKPATRICK, ANN",AZ,2,DEM,2018,0.553244047,33,REP,0.433324109,0,0.18355,0,0.47,FALSE,0,53516,100,41.4,74.6,3677716.16,2662198.12,0,10234,10237,"MARQUEZ PETERSON, LEA",AZ,2,REP,2018,0.553244047,33,REP,0.566675891,0,0.18355,0,0.47,TRUE,0,53516,500,33.6,74.6,1201455.28,1008233.28,0.563525,0.436475,7.3,0
1666,10249,10251,"GRIJALVA, RAUL M",AZ,3,DEM,2018,0.498788469,15.7,REP,1,1,0.30032,1,0.47,FALSE,4,47670,500,100,75.3,593374.39,542072.37,0,10250,10246,"PIERSON, JOE NICOLAS",AZ,3,REP,2018,0.498788469,15.7,REP,0,0,0.30032,1,0.47,TRUE,4,47670,107,51.5,75.3,45488,30467.2,1,0,7.3,0
1667,10254,10254,"BRILL, DAVID H",AZ,4,DEM,2018,0.457349567,18.6,REP,0.284821581,0,0.11402,1,0.47,FALSE,4,49387,4,53,76.2,359836.83,189839.67,0,10256,10259,"GOSAR, PAUL DR.",AZ,4,REP,2018,0.457349567,18.6,REP,0.715178419,1,0.11402,1,0.47,TRUE,4,49387,27,100,76.2,468439.14,279401.7,0.34,0.66,7.3,0
1668,10259,10260,"BIGGS, ANDY MR.",AZ,5,UNK,2018,0.484673867,34.7,REP,0,1,0.15536,1,0.47,FALSE,0,71675,28,,75.63333,,,0,10260,10265,"GREENE, JOAN",AZ,5,DEM,2018,0.484673867,34.7,REP,0.36859775,0,0.15536,0,0.47,FALSE,0,71675,500,60,75.63333,147857.31,139515.94,0,0.36859775,7.3,0
