"","Cand_Name","Cand_Office_St","Cand_Office_Dist","Cand_Party_Affiliation","Year","recent_presidential_vote","percent_bachelor_or_above","gov_party","Party_Previous_Vote_Share","Incumbent","minority_percentage","Gender","Presidential_Approval_Rating","Same_Party_As_President","seat_transition","Median_Income","name_commonness","Primary.Vote.Percent","labor_force","Raised","Spent"
"1","COX, JOHN R.","AK",0,"REP",2010,NA,27,"REP",0.503333091,0,0.32569,"1",0.38,FALSE,4,64576,6,"6.25","78.1",1001015.37,887310.33
"2","CRAWFORD, HARRY T JR","AK",0,"DEM",2010,NA,27,"REP",0.451463551,0,0.32569,"1",0.38,TRUE,4,64576,200,"100.00","78.1",240439.24,235571.43
"3","FISHER, SHELDON ALLRED","AK",0,"REP",2010,NA,27,"REP",0.503333091,0,0.32569,"1",0.38,FALSE,4,64576,500,"23.39","78.1",1001015.37,887310.33
"4","YOUNG, DONALD E","AK",0,"REP",2010,NA,27,"REP",0.503333091,1,0.32569,"1",0.38,FALSE,4,64576,42,"70.35","78.1",1001015.37,887310.33
"5","BONNER, JO","AL",1,"REP",2010,0.390788721,20.5,"REP",1,1,0.32626,"1",0.41,FALSE,4,41172,500,"75.25","79.8",913052.62,1101701
"6","GOUNARES, PETER HUNTER","AL",1,"REP",2010,0.390788721,20.5,"REP",1,0,0.32626,"1",0.41,FALSE,4,41172,55,"24.75","79.8",913052.62,1101701
"7","WALTER, DAVID MARSH","AL",1,"CON",2010,0.390788721,20.5,"REP",0,0,0.32626,"1",0.41,FALSE,4,41172,4,"","79.8",NA,NA
"9","BARBER, RICK JOE","AL",2,"REP",2010,0.407023755,19.3,"REP",0.496880946,0,0.35261,"1",0.41,FALSE,0,40567,16,"28.51","80",1253557.11,1240275.64
"13","BELL, STEPHANIE WOLFE","AL",2,"REP",2010,0.407023755,19.3,"REP",0.496880946,0,0.35261,"0",0.41,FALSE,0,40567,9,"18.46","80",1253557.11,1240275.64
"8","BRIGHT SR, BOBBY NEAL","AL",2,"DEM",2010,0.407023755,19.3,"REP",0.503119054,0,0.35261,"1",0.41,TRUE,0,40567,500,"","80",1413031.76,1435526.44
