AK 0,R,0.965
AL 1,R,1.0
AL 2,R,0.99
AL 3,R,0.995
AL 4,R,1.0
AL 5,R,1.0
AL 6,R,1.0
AL 7,D,1
AR 1,R,1.0
AR 2,R,0.83
AR 3,R,1.0
AR 4,R,1.0
AZ 1,D,0.73
AZ 2,D,0.94
AZ 3,D,1.0
AZ 4,R,0.96
AZ 5,UNK,0.875
AZ 6,R,1.0
AZ 7,D,1
AZ 8,R,0.69
AZ 9,D,0.815
CA 1,R,0.825
CA 10,D,0.795
CA 11,D,1.0
CA 12,D,0.995
CA 13,D,1.0
CA 14,D,1.0
CA 15,D,1.0
CA 16,D,0.97
CA 17,D,1.0
CA 18,D,1.0
CA 19,D,1.0
CA 2,D,1.0
CA 20,D,1.0
CA 21,R,0.69
CA 22,R,0.67
CA 23,R,1.0
CA 24,D,0.83
CA 25,R,0.625
CA 26,D,1.0
CA 27,D,0.79
CA 28,D,1.0
CA 29,D,0.99
CA 3,D,1.0
CA 30,D,1.0
CA 31,D,0.98
CA 32,D,0.9
CA 33,D,1.0
CA 34,D,1.0
CA 35,D,1.0
CA 36,D,0.945
CA 37,D,0.975
CA 38,D,0.995
CA 39,D,0.57
CA 4,D,0.555
CA 40,D,1.0
CA 41,D,1.0
CA 42,R,1.0
CA 43,D,0.9
CA 44,D,0.505
CA 45,D,0.505
CA 46,D,1.0
CA 47,D,1.0
CA 48,D,0.81
CA 49,D,0.89
CA 5,D,1.0
CA 50,R,0.73
CA 51,D,1.0
CA 52,D,0.995
CA 53,D,1.0
CA 6,D,0.58
CA 7,D,0.99
CA 8,R,0.73
CA 9,D,1.0
CO 1,D,1.0
CO 2,D,0.995
CO 3,R,0.78
CO 4,R,0.945
CO 5,R,0.995
CO 6,D,0.855
CO 7,D,1.0
CT 1,D,0.995
CT 2,D,1.0
CT 3,D,1.0
CT 4,D,0.88
CT 5,D,0.99
DE 0,D,1.0
FL 1,R,1.0
FL 10,D,1
FL 11,R,1.0
FL 12,R,0.995
FL 13,D,0.97
FL 14,D,1
FL 15,D,0.695
FL 16,R,0.835
FL 17,R,0.955
FL 18,R,0.795
FL 19,R,1.0
FL 2,R,1.0
FL 20,D,1
FL 21,D,1
FL 22,D,1.0
FL 23,D,1.0
FL 24,D,1
FL 25,R,0.73
FL 26,D,0.83
FL 27,D,0.875
FL 3,R,1.0
FL 4,R,0.96
FL 5,D,1.0
FL 6,R,0.57
FL 7,D,0.795
FL 8,R,1.0
FL 9,D,1.0
GA 1,R,1.0
GA 10,R,1.0
GA 11,R,1.0
GA 12,R,1.0
GA 13,D,1.0
GA 14,R,1.0
GA 2,D,1.0
GA 3,R,1.0
GA 4,D,1.0
GA 5,D,1
GA 6,R,0.62
GA 7,R,0.6
GA 8,R,1
GA 9,R,1.0
HI 1,D,0.98
HI 2,D,1.0
IA 1,D,0.8
IA 2,D,0.99
IA 3,D,0.5
IA 4,R,0.82
