filler,filler,filler,filler,filler,filler,filler,filler,filler,filler,filler,Party_Previous_Vote_ShareLEFT,IncumbentLEFT,filler,filler,filler,filler,filler,filler,filler,filler,filler,RaisedLEFT,SpentLEFT,filler,filler,filler,filler,filler,filler,filler,filler,filler,filler,filler,Party_Previous_Vote_ShareRIGHT,IncumbentRIGHT,filler,filler,filler,filler,filler,filler,filler,filler,filler,RaisedRIGHT,SpentRIGHT,PollingLEFT,PollingRIGHT,Wave,won
0,4,5,"BONNER, JO",AL,1,REP,2010,0.390788721,20.5,REP,1,1,0.32626,1,0.41,FALSE,4,41172,500,75.25,79.8,913052.62,1101701,1,6,7,"WALTER, DAVID MARSH",AL,1,CON,2010,0.390788721,20.5,REP,0,0,0.32626,1,0.41,FALSE,4,41172,4,,79.8,,,1,0,-6.8,0
1,9,8,"BRIGHT SR, BOBBY NEAL",AL,2,DEM,2010,0.407023755,19.3,REP,0.503119054,0,0.35261,1,0.41,TRUE,0,40567,500,,80,1413031.76,1435526.44,0,12,12,"ROBY, MARTHA",AL,2,REP,2010,0.407023755,19.3,REP,0.496880946,0,0.35261,0,0.41,FALSE,0,40567,161,48.55,80,1253557.11,1240275.64,0.503119054,0.496880946,-6.8,1
2,14,17,"ROGERS, MICHAEL",AL,3,REP,2010,0.456924713,19.5,REP,0.540995041,1,0.35445,1,0.41,FALSE,4,35452,1,100,79.34211,1141732.43,943059.56,1,16,14,"SEGREST, STEPHEN GRAHAM",AL,3,DEM,2010,0.456924713,19.5,REP,0.459004959,0,0.35445,1,0.41,TRUE,4,35452,33,100,79.34211,8750,8750,0.540995041,0.459004959,-6.8,0
3,18,24,"BROOKS, MO",AL,5,REP,2010,0.369056549,26.7,REP,0.481988496,0,0.23288,1,0.41,FALSE,4,45856,500,50.81,77.9,861210.63,810790.4,1,23,20,"RABY, STEPHEN WALKER",AL,5,DEM,2010,0.369056549,26.7,REP,0.518011504,0,0.23288,1,0.41,TRUE,4,45856,33,61.67,77.9,929084.38,777837.46,0.481988496,0.518011504,-6.8,0
4,29,30,"CHAMBERLAIN, DONALD NORWOOD",AL,7,REP,2010,0.522854019,17.1,REP,0,0,0.65806,1,0.41,FALSE,,31047,42,37.58,78.9,43555,42691,0,36,33,"SEWELL, TERRI A.",AL,7,DEM,2010,0.522854019,17.1,REP,1,0,0.65806,0,0.41,TRUE,,31047,148,36.8,78.9,1739832.56,1703658.3,0,1,-6.8,1
5,1,2,"CRAWFORD, HARRY T JR",AK,0,DEM,2010,,27,REP,0.451463551,0,0.32569,1,0.38,TRUE,4,64576,200,100,78.1,240439.24,235571.43,0,3,4,"YOUNG, DONALD E",AK,0,REP,2010,,27,REP,0.503333091,1,0.32569,1,0.38,FALSE,4,64576,42,70.35,78.1,1001015.37,887310.33,0.451463551,0.503333091,-6.8,1
6,81,86,"GOSAR, PAUL ANTHONY ANTHONY",AZ,1,REP,2010,0.441068198,19.2,REP,0.394293852,0,0.29621,1,0.43,FALSE,0,40854,27,30.73,77.15333,1169026.19,1168286.68,1,86,90,"KIRKPATRICK, ANN",AZ,1,DEM,2010,0.441068198,19.2,REP,0.558817305,1,0.29621,0,0.43,TRUE,0,40854,100,100,77.15333,1957921.74,1956363.79,0.485,0.515,-6.8,0
7,93,97,"FRANKS, TRENT",AZ,2,REP,2010,0.439814685,21.9,REP,0.594379672,1,0.13961,1,0.43,FALSE,4,47963,500,80.87,77.5,965568.88,989036.85,1,96,96,"THRASHER, JOHN ARMIN",AZ,2,DEM,2010,0.439814685,21.9,REP,0.371604891,0,0.13961,1,0.43,TRUE,4,47963,6,100,77.5,21020.76,21020.76,0.594379672,0.371604891,-6.8,0
8,104,112,"HULBURD, JON",AZ,3,DEM,2010,0.445441423,33.9,REP,0.42069552,0,0.1439,1,0.43,TRUE,1,52327,97,100,76.5,1670024.12,1647489.95,0,109,111,"QUAYLE, BEN",AZ,3,REP,2010,0.445441423,33.9,REP,0.54077431,0,0.1439,1,0.43,FALSE,1,52327,44,22.05,76.5,2653070.2,2645463.16,0.51,0.49,-6.8,1
9,114,118,"CONTRERAS, JANET L",AZ,4,REP,2010,0.445441423,13.6,REP,0.212453889,0,0.31865,0,0.43,FALSE,0,31498,125,60.1,77.19474,80895.64,80858.12,0,117,117,"PASTOR, ED L",AZ,4,DEM,2010,0.445441423,13.6,REP,0.7210734,1,0.31865,1,0.43,TRUE,0,31498,40,100,77.19474,1014290.67,1092555.25,0.212453889,0.7210734,-6.8,1
