,Unnamed: 0,Unnamed: 0.1,Cand_Name,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Year,recent_presidential_vote,percent_bachelor_or_above,gov_party,Party_Previous_Vote_Share,Incumbent,minority_percentage,Gender,Presidential_Approval_Rating,Same_Party_As_President,seat_transition,Median_Income,name_commonness,Primary.Vote.Percent,labor_force,Raised,Spent,won
0,1,2,"CRAWFORD, HARRY T JR",AK,0.0,DEM,2010,,27.0,REP,0.451463551,0,0.32569000000000004,1.0,0.38,True,4.0,64576.0,200,100.00,78.1,240439.24,235571.43,1
1,4,5,"BONNER, JO",AL,1.0,REP,2010,0.390788721,20.5,REP,1.0,1,0.32626,1.0,0.41,False,4.0,41172.0,500,75.25,79.8,913052.62,1101701.0,1
2,6,7,"WALTER, DAVID MARSH",AL,1.0,CON,2010,0.390788721,20.5,REP,0.0,0,0.32626,1.0,0.41,False,4.0,41172.0,4,,79.8,,,0
3,12,12,"ROBY, MARTHA",AL,2.0,REP,2010,0.407023755,19.3,REP,0.496880946,0,0.35261,0.0,0.41,False,0.0,40567.0,161,48.55,80.0,1253557.11,1240275.64,1
4,14,17,"ROGERS, MICHAEL",AL,3.0,REP,2010,0.456924713,19.5,REP,0.5409950410000001,1,0.35445,1.0,0.41,False,4.0,35452.0,1,100.00,79.34210999999999,1141732.43,943059.56,1
5,17,18,"ADERHOLT, ROBERT BROWN",AL,4.0,REP,2010,0.239855583,13.1,REP,0.748582669,1,0.08851,1.0,0.41,False,0.0,36715.0,7,100.00,78.78095,828588.47,969814.03,1
6,18,24,"BROOKS, MO",AL,5.0,REP,2010,0.369056549,26.7,REP,0.481988496,0,0.23288000000000006,1.0,0.41,False,4.0,45856.0,500,50.81,77.9,861210.63,810790.4,1
7,25,27,"BACHUS, SPENCER T.",AL,6.0,REP,2010,0.425701714,33.6,REP,1.0,1,0.1706,1.0,0.41,False,4.0,55559.0,500,75.64,78.9,1415671.8,1634114.19,1
8,36,33,"SEWELL, TERRI A.",AL,7.0,DEM,2010,0.522854019,17.1,REP,1.0,0,0.6580600000000001,0.0,0.41,True,,31047.0,148,36.80,78.9,1739832.56,1703658.3,1
11,70,68,"WOMACK, STEVE",AR,3.0,REP,2010,0.34330547,21.3,DEM,0.78525503,0,0.13725,1.0,0.4,False,4.0,40674.0,159,31.18,77.08667,717879.42,641115.26,1
16,104,112,"HULBURD, JON",AZ,3.0,DEM,2010,0.445441423,33.9,REP,0.42069552,0,0.1439,1.0,0.43,True,1.0,52327.0,97,100.00,76.5,1670024.12,1647489.95,0
20,123,130,"MITCHELL, HARRY E.",AZ,5.0,DEM,2010,0.445441423,43.6,REP,0.531567778,1,0.16605,1.0,0.43,True,0.0,55876.0,200,100.00,77.49048,2174509.0,2308400.3,0
23,134,133,"SCHNEIDER, REBECCA",AZ,6.0,DEM,2010,0.443988399,28.5,REP,0.345497582,0,0.18269,0.0,0.43,True,1.0,56691.0,13,100.00,78.7,0.0,0.0,0
25,147,151,"GIFFORDS, GABRIELLE",AZ,8.0,DEM,2010,0.502409117,34.1,REP,0.54720562,1,0.14227,0.0,0.43,True,,49825.0,500,100.00,77.7,3504409.93,3888405.81,1
32,175,176,"MCCLINTOCK, THOMAS",CA,4.0,REP,2010,0.534013145,29.6,REP,0.50243388,1,0.14928,1.0,0.56,False,4.0,60629.0,20,78.48,78.3,1871673.55,1703386.7,1
33,178,179,"MATSUI, DORIS",CA,5.0,DEM,2010,0.595243796,25.4,REP,0.7426556040000001,1,0.46878,0.0,0.56,True,4.0,43953.0,500,100.00,77.1,835400.43,842505.42,1
36,190,192,"MILLER, GEORGE",CA,7.0,DEM,2010,0.681004684,25.5,REP,0.7282012840000001,1,0.44074,1.0,0.56,True,4.0,61315.0,53,85.04,77.5,972502.15,1008838.16,1
43,228,228,"MCNERNEY, JERRY",CA,11.0,DEM,2010,0.715546516,32.2,REP,0.55272566,1,0.32001,1.0,0.56,True,0.0,72075.0,63,100.00,76.3,3208078.03,3097236.5,1
46,240,239,"STARK, FORTNEY P.",CA,13.0,DEM,2010,0.800612436,36.9,REP,0.7643029929999999,1,0.63546,1.0,0.56,True,4.0,73539.0,500,84.35,77.34761999999999,487385.12,371118.55,1
47,241,242,"CHAPMAN, DAVE",CA,14.0,REP,2010,0.728845445,57.0,REP,0.222205114,0,0.34503,1.0,0.56,False,0.0,94740.0,4,52.98,78.0,0.0,0.0,0
49,248,251,"HONDA, MIKE",CA,15.0,DEM,2010,0.7088871720000001,46.6,REP,0.716617279,1,0.52886,1.0,0.56,True,0.0,85700.0,1,100.00,77.8,773920.65,850364.24,1
51,254,254,"SAHAGUN, DANIEL",CA,16.0,REP,2010,0.7088871720000001,32.1,REP,0.0,0,0.52509,1.0,0.56,False,0.0,73973.0,12,91.15,76.6,,,0
54,265,267,"BERRYHILL, MICHAEL CLARE SR",CA,18.0,REP,2010,0.5139456379999999,10.7,REP,0.0,0,0.32626,0.0,0.56,False,4.0,39297.0,1,100.00,77.5,340355.02,339661.61,0
55,266,266,"CARDOZA, DENNIS",CA,18.0,DEM,2010,0.5139456379999999,10.7,REP,1.0,1,0.32626,1.0,0.56,True,4.0,39297.0,59,100.00,77.5,1180308.37,1420229.82,1
57,269,274,"GOODWIN, LORAINE",CA,19.0,DEM,2010,0.489362431,21.6,REP,0.0,0,0.20874,0.0,0.56,True,4.0,51553.0,500,52.56,78.0,44517.0,46862.0,0
58,274,276,"COSTA, JIM MR.",CA,20.0,DEM,2010,0.451172356,7.4,REP,0.7433455059999999,1,0.3971,1.0,0.56,True,4.0,33089.0,5,79.28,77.62666999999999,1795156.04,2076986.04,1
59,281,282,"NUNES, DEVIN G",CA,21.0,REP,2010,0.477368999,17.6,REP,0.683926316,1,0.29441,1.0,0.56,False,4.0,48113.0,500,100.00,76.9,1223375.95,994286.53,1
