id,subgroup,sampleSize,population,grade,url,created_at,startDate,endDate,pollster,answers/0/choice,answers/0/pct,answers/0/party,answers/1/choice,answers/1/pct,answers/1/party,type,seat_name,state,district,answers/2/choice,answers/2/pct,answers/2/party,answers/3/choice,answers/3/pct,answers/3/party,partisan,answers/4/choice,answers/4/pct,answers/4/party,answers/5/choice,answers/5/pct,answers/5/party,answers/6/choice,answers/6/pct,answers/6/party
91451,All polls,350,lv,,https://twitter.com/ChangePolls/status/1059294038061277184,2018-11-05,2018-11-02,2018-11-04,Change Research,Garrett,36.0,Dem,Jordan,60.0,Rep,house,District 4,Ohio,4,,,,,,,,,,,,,,,,
91455,All polls,851,lv,,https://twitter.com/ChangePolls/status/1059301248380223488,2018-11-05,2018-11-02,2018-11-04,Change Research,Bjorkman,41.0,Dem,Johnson,51.0,Rep,house,District 1,South Dakota,1,Wieczorek,3.0,Ind,Hendrickson,2.0,Lib,,,,,,,,,,
91456,All polls,858,lv,,https://twitter.com/ChangePolls/status/1059302464313188352,2018-11-05,2018-11-02,2018-11-04,Change Research,Hunter,28.0,Dem,Cheney,55.0,Rep,house,District 1,Wyoming,1,Brubaker,7.0,Lib,Cummings,6.0,Con,,,,,,,,,,
91452,All polls,879,lv,,https://twitter.com/ChangePolls/status/1059294632163438592,2018-11-05,2018-11-02,2018-11-04,Change Research,Williams,44.0,Dem,Gianforte,52.0,Rep,house,District 1,Montana,1,Swanson,2.0,Lib,,,,,,,,,,,,,
91309,All polls,505,lv,A,https://www.nytimes.com/interactive/2018/upshot/elections-poll-ny19-3.html,2018-11-02,2018-11-01,2018-11-04,Siena College/New York Times,Delgado,43.28,Dem,Faso,41.6,Rep,house,District 19,New York,19,,,,,,,,,,,,,,,,
91310,All polls,505,rv,A,https://www.nytimes.com/interactive/2018/upshot/elections-poll-ny19-3.html,2018-11-02,2018-11-01,2018-11-04,Siena College/New York Times,Delgado,39.44,Dem,Faso,38.45,Rep,house,District 19,New York,19,,,,,,,,,,,,,,,,
91311,All polls,506,lv,A,https://www.nytimes.com/interactive/2018/upshot/elections-poll-ny22-3.html,2018-11-02,2018-11-01,2018-11-04,Siena College/New York Times,Brindisi,44.95,Dem,Tenney,45.88,Rep,house,District 22,New York,22,,,,,,,,,,,,,,,,
91312,All polls,506,rv,A,https://www.nytimes.com/interactive/2018/upshot/elections-poll-ny22-3.html,2018-11-02,2018-11-01,2018-11-04,Siena College/New York Times,Brindisi,40.09,Dem,Tenney,45.94,Rep,house,District 22,New York,22,,,,,,,,,,,,,,,,
91345,All polls,438,lv,A,https://www.nytimes.com/interactive/2018/upshot/elections-poll-ky06-3.html,2018-11-03,2018-11-01,2018-11-04,Siena College/New York Times,McGrath,44.01,Dem,Barr,44.4,Rep,house,District 6,Kentucky,6,,,,,,,,,,,,,,,,
91346,All polls,438,rv,A,https://www.nytimes.com/interactive/2018/upshot/elections-poll-ky06-3.html,2018-11-03,2018-11-01,2018-11-04,Siena College/New York Times,McGrath,38.41,Dem,Barr,47.29,Rep,house,District 6,Kentucky,6,,,,,,,,,,,,,,,,
91453,All polls,309,lv,B,https://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2018_fall_nhelec110418.pdf,2018-11-05,2018-11-01,2018-11-04,University of New Hampshire,Pappas,53.0,Dem,Edwards,40.0,Rep,house,District 1,New Hampshire,1,Belforti,3.0,Lib,,,,,,,,,,,,,
91454,All polls,321,lv,B,https://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2018_fall_nhelec110418.pdf,2018-11-05,2018-11-01,2018-11-04,University of New Hampshire,Kuster,56.0,Dem,Negron,35.0,Rep,house,District 2,New Hampshire,2,O'Donnell,2.0,Lib,,,,,,,,,,,,,
91494,All polls,238,lv,B+,https://www.emerson.edu/news-events/emerson-college-today/final-emerson-battleground-polls-finds-democratic-momentum-florida-nevada-south-dakota-arizona-republicans-poised-take-missouri-0,2018-11-05,2018-11-01,2018-11-04,Emerson College,Titus,58.3,Dem,Bentley,28.3,Rep,house,District 1,Nevada,1,,,,,,,,,,,,,,,,
91495,All polls,365,lv,B+,https://www.emerson.edu/news-events/emerson-college-today/final-emerson-battleground-polls-finds-democratic-momentum-florida-nevada-south-dakota-arizona-republicans-poised-take-missouri-0,2018-11-05,2018-11-01,2018-11-04,Emerson College,Koble,36.9,Dem,Amodei,57.5,Rep,house,District 2,Nevada,2,,,,,,,,,,,,,,,,
91496,All polls,332,lv,B+,https://www.emerson.edu/news-events/emerson-college-today/final-emerson-battleground-polls-finds-democratic-momentum-florida-nevada-south-dakota-arizona-republicans-poised-take-missouri-0,2018-11-05,2018-11-01,2018-11-04,Emerson College,Lee,50.6,Dem,Tarkanian,41.4,Rep,house,District 3,Nevada,3,,,,,,,,,,,,,,,,
91497,All polls,263,lv,B+,https://www.emerson.edu/news-events/emerson-college-today/final-emerson-battleground-polls-finds-democratic-momentum-florida-nevada-south-dakota-arizona-republicans-poised-take-missouri-0,2018-11-05,2018-11-01,2018-11-04,Emerson College,Horsford,48.0,Dem,Hardy,44.2,Rep,house,District 4,Nevada,4,,,,,,,,,,,,,,,,
91498,All polls,514,lv,B+,https://www.emerson.edu/news-events/emerson-college-today/final-emerson-battleground-polls-finds-democratic-momentum-florida-nevada-south-dakota-arizona-republicans-poised-take-missouri-0,2018-11-05,2018-11-01,2018-11-04,Emerson College,Bjorkman,37.9,Dem,Johnson,54.0,Rep,house,District 1,South Dakota,1,,,,,,,,,,,,,,,,
91307,All polls,447,lv,A,https://www.nytimes.com/interactive/2018/upshot/elections-poll-mi08-3.html,2018-11-02,2018-10-31,2018-11-04,Siena College/New York Times,Slotkin,49.05,Dem,Bishop,42.42,Rep,house,District 8,Michigan,8,,,,,,,,,,,,,,,,
91308,All polls,447,rv,A,https://www.nytimes.com/interactive/2018/upshot/elections-poll-mi08-3.html,2018-11-02,2018-10-31,2018-11-04,Siena College/New York Times,Slotkin,43.22,Dem,Bishop,37.76,Rep,house,District 8,Michigan,8,,,,,,,,,,,,,,,,
91343,All polls,428,lv,A,https://www.nytimes.com/interactive/2018/upshot/elections-poll-il14-3.html,2018-11-03,2018-10-31,2018-11-04,Siena College/New York Times,Underwood,48.64,Dem,Hultgren,43.41,Rep,house,District 14,Illinois,14,,,,,,,,,,,,,,,,
91344,All polls,428,rv,A,https://www.nytimes.com/interactive/2018/upshot/elections-poll-il14-3.html,2018-11-03,2018-10-31,2018-11-04,Siena College/New York Times,Underwood,45.12,Dem,Hultgren,38.89,Rep,house,District 14,Illinois,14,,,,,,,,,,,,,,,,
91347,All polls,423,lv,A,https://www.nytimes.com/interactive/2018/upshot/elections-poll-ia04-3.html,2018-11-03,2018-10-31,2018-11-04,Siena College/New York Times,Scholten,42.45,Dem,King,47.22,Rep,house,District 4,Iowa,4,,,,,,,,,,,,,,,,
91348,All polls,423,rv,A,https://www.nytimes.com/interactive/2018/upshot/elections-poll-ia04-3.html,2018-11-03,2018-10-31,2018-11-04,Siena College/New York Times,Scholten,40.17,Dem,King,45.03,Rep,house,District 4,Iowa,4,,,,,,,,,,,,,,,,
91179,All polls,500,lv,A,https://www.nytimes.com/interactive/2018/upshot/elections-poll-va07-3.html,2018-10-31,2018-10-30,2018-11-04,Siena College/New York Times,Spanberger,43.98,Dem,Brat,45.79,Rep,house,District 7,Virginia,7,,,,,,,,,,,,,,,,
91180,All polls,500,rv,A,https://www.nytimes.com/interactive/2018/upshot/elections-poll-va07-3.html,2018-10-31,2018-10-30,2018-11-04,Siena College/New York Times,Spanberger,42.57,Dem,Brat,40.65,Rep,house,District 7,Virginia,7,,,,,,,,,,,,,,,,
91251,All polls,477,lv,A,https://www.nytimes.com/interactive/2018/upshot/elections-poll-wa08-3.html,2018-11-02,2018-10-30,2018-11-04,Siena College/New York Times,Schrier,47.5,Dem,Rossi,44.7,Rep,house,District 8,Washington,8,,,,,,,,,,,,,,,,
91252,All polls,477,rv,A,https://www.nytimes.com/interactive/2018/upshot/elections-poll-wa08-3.html,2018-11-02,2018-10-30,2018-11-04,Siena College/New York Times,Schrier,45.1,Dem,Rossi,45.5,Rep,house,District 8,Washington,8,,,,,,,,,,,,,,,,
